exp,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,unseen_proto_h_mean,unseen_proto_h_std,unseen_state_h_mean,unseen_state_h_std,ratio_mean,ratio_std,train_pos_rate_mean,train_pos_rate_std,test_pos_rate_mean,test_pos_rate_std,n_runs
bot->ton,MLP(16),0.8291201319162445,0.009579277889571212,0.734295378464137,0.014400708088695252,0.8686502478317163,0.008041524151182517,0.9145147569282738,0.01671801463910844,0.890874376936506,0.006891403221448093,0.5023476631816481,0.02466432179213572,0.6046140786125445,0.009241177446544992,0.7517041743250713,0.005924062117559995,27703.8,1848.7319257624495,22296.2,1848.7319257624495,13766.8,2692.319231525943,147276.2,2692.319231525941,0.44592400000000004,0.036974638515248986,0.08548524307172614,0.01671801463910844,1.23,0.15670212364724206,24327.0,0.0,211043.0,0.0,0.0,0.0,0.21252540951370097,0.0,50.0,0.0,0.9803921568627452,0.0,0.7630814573333397,0.0,10
bot->ton,XGBoost,0.7204583899963515,0.0778026701497853,0.6487229454183044,0.04607421481352133,0.836854485461164,0.017880471778703944,0.7850598908366089,0.10925782569342289,0.8071035280935384,0.06913059281325734,0.2920505087190665,0.10189257720040285,0.6959014349583652,0.05156285106774216,0.8333341028377091,0.026921004190739724,25619.3,2347.3720081070333,24380.7,2347.3720081070333,34614.6,17595.208023145897,126428.4,17595.208023145897,0.48761400000000005,0.04694744016214064,0.21494010916339112,0.10925782569342286,0.76,0.051639777949432274,24327.0,0.0,211043.0,0.0,0.0,0.0,0.21252540951370097,0.0,50.0,0.0,0.9803921568627452,0.0,0.7630814573333397,0.0,10
ton->bot,DecisionTree(d=5),0.4558464962183681,6.9822258248509085e-06,0.5493995502999783,0.008945187011900396,0.9998981549739199,5.103830947686276e-06,0.45582216139660225,9.310845076817756e-06,0.626185858634636,7.785057014458836e-06,0.00226188946175638,0.0004095858192679495,0.43381131783414534,0.0003698300161019565,0.9998983538028708,5.140235621018769e-07,306.7,8.538149682454621,170.3,8.538149682454625,1996068.8,34.152598729829634,1671976.2,34.152598729829634,0.35702306079664564,0.017899684868877594,0.5441778386033977,9.31084507685083e-06,3.14,0.06992058987801013,211043.0,0.0,3668522.0,0.0,5.8061529956750974e-05,0.0,0.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.999869974883618,0.0,10
ton->bot,"KAN(cat,1L)",0.4406837140406954,0.002055540647971783,0.5573287827226228,0.009459776938321406,0.9999037909281678,5.4955393356763925e-06,0.4406533725731282,0.0020546347972680316,0.6117204606849849,0.001984523516262741,0.00263320680057928,0.000433784997852516,0.5170980138103773,0.04242046380261321,0.999901363457043,9.310471716611379e-06,321.5,8.488554385497897,155.5,8.488554385497894,2051708.6,7536.492894944928,1616336.4,7536.492894944928,0.32599580712788256,0.017795711499995554,0.5593466274268718,0.0020546347972680112,28.889999999999997,11.986886353196331,211043.0,0.0,3668522.0,0.0,5.8061529956750974e-05,0.0,0.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.999869974883618,0.0,10
ton->bot,"KAN(cat,ML)",0.26051120860117505,0.06187856585098193,0.4588461612684857,0.054822859756176234,0.9998146235141014,7.935707968629721e-05,0.2604596181344558,0.06188390902122778,0.40976965097099416,0.07923313157090546,-0.0023708398652894816,0.0032120830187316136,0.4185366889798627,0.08053738898563825,0.999770495453032,7.19401353710374e-05,313.5,35.75922569382931,163.5,35.75922569382931,2712667.4,226992.96306576938,955377.6,226992.96306576947,0.3427672955974842,0.07496693017574281,0.7395403818655442,0.06188390902122777,192.5,52.54562039049707,211043.0,0.0,3668522.0,0.0,5.8061529956750974e-05,0.0,0.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.999869974883618,0.0,10
ton->bot,LightGBM,0.2880702092014168,0.005887214832611936,0.47786786206750465,0.008289129909502545,0.9998498892097138,7.792259892390577e-06,0.28802083943899265,0.005887217969622606,0.4471858554309292,0.007107643542565767,-0.00111630180506929,0.00042246783891265353,0.5515947603492778,0.035597745022660006,0.9998568647472904,1.023581592461552e-05,318.5,6.240548408949685,158.5,6.240548408949685,2611571.6,21594.58043738448,1056473.4,21594.58043738442,0.3322851153039832,0.013082910710586334,0.7119791605610073,0.005887217969622631,27.639999999999997,1.1964763079792071,211043.0,0.0,3668522.0,0.0,5.8061529956750974e-05,0.0,0.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.999869974883618,0.0,10
ton->bot,MLP(16),0.421143119763218,0.06887640707718107,0.43687978572423025,0.06341341345896559,0.9998260456346811,4.456778851659252e-05,0.4211390263750854,0.0688823569104073,0.5897567413747007,0.06643456533587484,-0.00297564456084859,0.0030074981530568393,0.3817437888621245,0.06036782437380448,0.9997509630867503,6.107276392357002e-05,215.9,43.07732066361087,261.1,43.07732066361086,2123288.1,252663.58485343488,1544756.9,252663.58485343488,0.5473794549266248,0.09030884835138547,0.5788609736249146,0.06888235691040728,16.05,2.229225077116361,211043.0,0.0,3668522.0,0.0,5.8061529956750974e-05,0.0,0.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.999869974883618,0.0,10
ton->bot,XGBoost,0.4137476891238488,0.05325819424656243,0.5527677134507011,0.026892203740968262,0.9999013934374764,1.5266254322123056e-05,0.4137115275303329,0.053265136831426314,0.5833687248250905,0.0560175092129745,0.0024278224761345784,0.0012286684319828087,0.4581580403796351,0.03317292817448424,0.9998579457358947,1.053451523158756e-05,330.0,3.972125095937664,147.0,3.972125095937661,2150532.5,195378.91882882913,1517512.5,195378.91882882916,0.3081761006289308,0.008327306280791723,0.5862884724696671,0.05326513683142632,11.26,0.3204163957519443,211043.0,0.0,3668522.0,0.0,5.8061529956750974e-05,0.0,0.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.999869974883618,0.0,10
ton->ton,DecisionTree(d=5),0.9875854686320218,0.0013056579735501955,0.9828382810917308,0.0014654674301812643,0.9918787770586459,0.001756116679826751,0.9918605621834615,0.0032763492563427483,0.9918635927248255,0.0008742466111006309,0.9657344923591985,0.003421143836910526,0.9913639714090147,0.0008532783389872832,0.99473744035461,0.0005225712932651957,9738.16,57.75577009781645,261.84,57.75577009781651,262.16,105.52712389500161,31946.44,105.49613785367114,0.026184,0.005775577009781652,0.008139437816538428,0.0032763492563427535,0.506,0.2410944433458493,168834.4,0.49487165930472643,42208.6,0.49487165930530996,0.0,0.0,0.0,0.0,50.0,0.0,0.7630814573313449,6.944327308266286e-07,0.7630814573014235,2.7777473760334743e-06,50
ton->ton,"KAN(cat,1L)",0.9694105011505348,0.0011097383799041976,0.9701432926486083,0.0011624538704089863,0.9909603260905248,0.0005957339056013915,0.9687505852972167,0.0013208479863068745,0.9797290833530533,0.0007458118213941804,0.9184386985749149,0.002828806186427372,0.9930195772838194,0.00042686641321026795,0.9974263454376469,0.00017114799636281888,9715.36,18.918471699071603,284.64,18.918471699071556,1006.5,42.545174071035305,31202.1,42.46931665500234,0.028464,0.0018918471699071553,0.031249414702783303,0.001320847986306881,9.612,4.867620631504154,168834.4,0.49487165930472643,42208.6,0.49487165930530996,0.0,0.0,0.0,0.0,50.0,0.0,0.7630814573313449,6.944327308266286e-07,0.7630814573014235,2.7777473760334743e-06,50
