accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,dst,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,ratio,variant,n_normal,n_attack,n_per_domain,n_joint,train_pool_ton_normal,train_pool_bot_normal,train_pool_ton_attack,train_pool_bot_attack,split
0.998558685030087,0.972966867523903,0.9999931746438018,0.9985653139951746,0.9992787342553485,0.2729635715901573,0.9997768896459397,0.9999999649514051,72,4,842,586046,0.05263157894736842,0.0014346860048254522,XGBoost,42,bot,7.9,6732,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9485000148073562,0.8999315670237125,0.9432229026783738,0.992238134047425,0.967109867039888,0.8546536837564734,0.9832665424768114,0.9920387506011652,6461,1539,200,25567,0.192375,0.007761865952574999,MLP(16),42,ton,1.7,6732,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.9959486442098664,0.912458819364082,0.9999777601379556,0.9959702703071114,0.9979699920780178,0.14623961264959345,0.9684877895647981,0.9999927004118812,63,13,2365,584523,0.17105263157894737,0.004029729692888592,MLP(16),42,bot,6.7,6732,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,pkts_src",0.0,0.0,10.0,cat,306,3060,3366,6732,32000,306,103067,2347547,validation
0.935469541268102,0.9407807685217526,0.9838762615902191,0.9306865370435052,0.9565425500089747,0.8364962360083923,0.9789677106376372,0.9887410292508167,7607,393,1786,23981,0.049125,0.06931346295649474,"KAN(cat,1L)",42,ton,2.3,12852,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9955602047144289,0.9583112423853488,0.9999897311969659,0.9955698531917504,0.997774897496717,0.15498996252372124,0.9973652396870846,0.999999652090593,70,6,2600,584288,0.07894736842105263,0.004430146808249615,"KAN(cat,1L)",42,bot,14.9,12852,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9858441673823556,0.9755550122249388,0.9864578925095218,0.9951100244498777,0.9907650695517775,0.9606323544173712,0.9892272092210966,0.9937230414532776,7648,352,126,25641,0.044,0.004889975550122249,"KAN(cat,ML)",42,ton,25.8,12852,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9965108592690523,0.9916771083014853,0.9999982901364813,0.9965121113398127,0.9982521570669011,0.186424260382621,0.9997525529841971,0.9999999648453727,75,1,2047,584841,0.013157894736842105,0.003487888660187293,"KAN(cat,ML)",42,bot,39.1,12852,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9749163384369355,0.9580949057903521,0.9773580568538809,0.990064811580704,0.9836704004318572,0.9299710044233008,0.9772038945162417,0.9872402962433904,7409,591,256,25511,0.073875,0.009935188419295998,DecisionTree(d=5),42,ton,0.4,12852,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9964989334950696,0.971936858390985,0.9999931605342307,0.9965052957293384,0.9982461814975988,0.17889755340551056,0.9897622804745674,0.9999973904866354,72,4,2051,584837,0.05263157894736842,0.003494704270661523,DecisionTree(d=5),42,bot,4.3,12852,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9856960938194095,0.9727429827880623,0.9841081412269281,0.9973609655761245,0.9906902334187853,0.9602392467322576,0.9915055351806575,0.9951631310357453,7585,415,68,25699,0.051875,0.0026390344238754995,LightGBM,42,ton,4.5,12852,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9965057482230597,0.9850964570304457,0.9999965802671154,0.9965087035345755,0.998249595256241,0.18388597496771794,0.9997458831022362,0.9999999609346204,74,2,2049,584839,0.02631578947368421,0.003491296465424408,LightGBM,42,bot,19.5,12852,586964,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
0.9843634317528949,0.9694995294368767,0.9820466786355476,0.9977490588737532,0.989835598506141,0.9565372595237626,0.9929333789342958,0.9964485340230146,7530,470,58,25709,0.05875,0.00225094112624675,XGBoost,42,ton,1.7,12852,33767,"bytes_src,payload_mean_src,byte_asymmetry,bytes_total,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,20.0,cat,306,6120,6426,12852,32000,306,103067,2347547,validation
