exp,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,ratio_mean,ratio_std,train_pos_rate_mean,train_pos_rate_std,test_pos_rate_mean,test_pos_rate_std,n_runs
bot->ton,MLP(16),0.6876560700899818,0.09267395149510922,0.5484356510993958,0.009452516236349448,0.7862469475496416,0.008151014639156361,0.8130313021987917,0.17669945724385755,0.7923241239025621,0.08645015862737934,0.1260193951384825,0.06489575050725904,0.4958028300516011,0.04921863975627952,0.7172976367864022,0.0158317589254557,14192.0,8970.220287150143,35808.0,8970.220287150143,30110.0,28456.210692922556,130933.0,28456.210692922556,0.71616,0.17940440574300287,0.1869686978012084,0.17669945724385758,0.9666666666666668,0.1527525231651947,24327.0,0.0,211043.0,0.0,50.0,0.0,0.9803921568627451,0.0,0.7630814573333397,0.0,3
bot->ton,XGBoost,0.640221818934214,0.07894995556886704,0.5960709754951575,0.05000839011836244,0.8160307723718656,0.021208275537834304,0.6799819509903152,0.10502355800811768,0.7398266162784787,0.07059939024053657,0.17499151391413684,0.10040240286688204,0.6293957581515496,0.030690031188313576,0.8013662993156087,0.027833697583405457,25608.0,282.29948636155893,24392.0,282.29948636155893,51536.666666666664,16913.308852301296,109506.33333333333,16913.308852301296,0.48784,0.005645989727231155,0.3200180490096848,0.10502355800811768,0.9666666666666667,0.05773502691896255,24327.0,0.0,211043.0,0.0,50.0,0.0,0.9803921568627451,0.0,0.7630814573333397,0.0,3
ton->bot,DecisionTree(d=5),0.2353963439953929,2.4865965784570898e-05,0.420609093906275,1.2434599702555342e-05,0.9997822702326751,2.300105383377465e-08,0.23534816684818935,2.4869199405120703e-05,0.3810074097641869,3.259074025331093e-05,-0.004267619433642784,8.244308236509171e-07,0.33394301257322584,3.232474555800248e-06,0.9998852319330934,1.8719982700964833e-09,289.0,0.0,188.0,0.0,2804777.3333333335,91.22134253192726,863267.6666666666,91.22134253195247,0.3941299790356394,0.0,0.7646518331518107,2.4869199405110684e-05,2.1333333333333333,0.15275252316519466,211043.0,0.0,3668522.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.9998699748836181,0.0,3
ton->bot,"KAN(cat,1L)",0.2515319066734051,0.013250884313967494,0.4625658999107767,0.019421745006070256,0.9998319255474334,1.8640760517599964e-05,0.2514770129592194,0.01325937568283216,0.4017543371834708,0.017034888523042305,-0.0019565054364301905,0.0009965238550647332,0.5584612247708344,0.011338517057995838,0.9998974310663803,2.636271651404264e-06,321.3333333333333,24.846193538112306,155.66666666666666,24.846193538112296,2745616.0,48635.98667653408,922429.0,48635.98667653408,0.32634521313766596,0.05208845605474277,0.7485229870407806,0.013259375682832135,26.333333333333332,1.0692676621563617,211043.0,0.0,3668522.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.9998699748836181,0.0,3
ton->bot,LightGBM,0.2367965445848037,0.0021976662047524255,0.3968540451811616,0.006464182418108886,0.9997566949968024,7.2793338387936665e-06,0.2367549107676342,0.002198003730426098,0.3828434759371669,0.002876541460632299,-0.00553331486778356,0.0003489917443881859,0.40049446602204886,0.036053477495373125,0.9997753165605866,1.6410313001153872e-05,265.6666666666667,6.110100926607794,211.33333333333334,6.110100926607783,2799617.3333333335,8062.376593370824,868427.6666666666,8062.3765933708055,0.4430468204053109,0.01280943590483812,0.7632450892323659,0.0021980037304260586,33.766666666666666,1.5695009822658066,211043.0,0.0,3668522.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.9998699748836181,0.0,3
ton->bot,MLP(16),0.7730656469644542,0.04584100768257662,0.6887799840486682,0.0220374752015319,0.9999333819432691,4.8304832226755275e-06,0.7730875711721094,0.045848318974682147,0.8714881962271366,0.029621632973758097,0.010406709804963415,0.0017722386282922231,0.6665547084668941,0.0033667556594160837,0.9998971178950385,1.579398053005222e-05,288.3333333333333,13.428824718989116,188.66666666666666,13.428824718989128,832325.0,168173.69717348786,2835720.0,168173.69717348786,0.3955276030747729,0.02815267236685351,0.22691242882789062,0.04584831897468211,13.933333333333332,3.83709959908957,211043.0,0.0,3668522.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.9998699748836181,0.0,3
ton->bot,XGBoost,0.25981153536310625,0.00212629350471147,0.4031226284435432,0.011063020066520074,0.9997729841669355,1.1464328672972035e-05,0.2597742575858984,0.002125489108955178,0.4123916640813065,0.0026765692217927775,-0.005038383636000208,0.0005817054657195643,0.4420392064188023,0.0061919590876424275,0.9997948483534467,5.862987753623534e-06,260.6666666666667,10.115993936995675,216.33333333333334,10.11599393699568,2715181.3333333335,7796.389698657492,952863.6666666666,7796.389698657525,0.453529000698812,0.021207534459110437,0.7402257424141016,0.002125489108955164,15.633333333333333,0.05773502691896263,211043.0,0.0,3668522.0,0.0,50.0,0.0,0.7630814573333397,0.0,0.9998699748836181,0.0,3
ton->ton,DecisionTree(d=5),0.9719048753683508,0.0007425394377724623,0.9662564839812469,0.0010703564532821173,0.9860625381855034,0.0005960666555402379,0.9769915393910653,0.0006776029575963748,0.9815059218281693,0.0004897895224674068,0.9232557232895334,0.0020230416691778305,0.9896513233555011,0.0007007407768889463,0.9949242076836943,0.0004968896810255328,9555.214285714286,19.24009663908473,444.7857142857143,19.240096639084705,741.0714285714286,21.8296350641271,31467.571428571428,21.614504694459708,0.04447857142857143,0.0019240096639084705,0.023008460608934637,0.0006776029575963604,0.38571428571428573,0.03631365196012815,168834.35714285713,0.49724515809813824,42208.642857142855,0.49724515809891723,50.0,0.0,0.7630813971917062,6.977633625556363e-07,0.7630816978614028,2.7910699818503958e-06,14
ton->ton,"KAN(cat,1L)",0.9552342903190784,0.0013600422618727298,0.9544442930207827,0.0011956183678944387,0.9849469433375274,0.0005464735010186529,0.9559457288987085,0.0017223315351776174,0.970228866304495,0.0009276900591933728,0.8817198100854746,0.0033000760853300164,0.9823018260551224,0.0008387448247350775,0.9931769989483755,0.0005136549685412191,9529.42857142857,17.345867544724314,470.57142857142856,17.345867544724324,1418.9285714285713,55.48175623324547,30789.714285714286,55.30395530635641,0.04705714285714285,0.0017345867544724329,0.04405427110129149,0.0017223315351776207,7.542857142857143,0.7035233151396302,168834.35714285713,0.49724515809813824,42208.642857142855,0.49724515809891723,50.0,0.0,0.7630813971917062,6.977633625556363e-07,0.7630816978614028,2.7910699818503958e-06,14
ton->ton,LightGBM,0.9941921176002824,0.00045522362701129986,0.9927369845348807,0.0005324144848498249,0.9968822508065581,0.000351048645511001,0.9955025404983325,0.0006364804686742786,0.996191754884415,0.0002994495710247671,0.9839681452914734,0.0012442100500854006,0.9996663120337864,5.819700682552278e-05,0.9998855534316881,2.5089851474794423e-05,9899.714285714286,11.343778853685391,100.28571428571429,11.34377885368534,144.85714285714286,20.500871061633315,32063.785714285714,20.377886096409508,0.010028571428571428,0.0011343778853685337,0.004497459501667418,0.0006364804686742583,2.7857142857142856,0.05345224838248468,168834.35714285713,0.49724515809813824,42208.642857142855,0.49724515809891723,50.0,0.0,0.7630813971917062,6.977633625556363e-07,0.7630816978614028,2.7910699818503958e-06,14
