dst,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,unseen_proto_h_mean,unseen_proto_h_std,unseen_state_h_mean,unseen_state_h_std,ratio_mean,ratio_std,n_normal_mean,n_normal_std,n_attack_mean,n_attack_std,n_per_domain_mean,n_per_domain_std,n_joint_mean,n_joint_std,train_pool_ton_normal_mean,train_pool_ton_normal_std,train_pool_bot_normal_mean,train_pool_bot_normal_std,train_pool_ton_attack_mean,train_pool_ton_attack_std,train_pool_bot_attack_mean,train_pool_bot_attack_std,n_runs
cic,MLP(16),0.8385645380387132,0.0831139999738714,0.47250126041177953,0.04005696917495066,0.9309854244733599,0.006179422681990556,0.8930555,0.08962780186074458,0.9097586452273386,0.050920109784113335,-0.0311378452607518,0.05274678072431084,0.46069519924031904,0.11082491415903208,0.9416511240622587,0.01907981971451985,1439.4,524.812389758897,26269.6,524.8123897588968,42777.8,35851.12074429783,357222.2,35851.120744297834,0.9480529791764409,0.018940141822472726,0.1069445,0.08962780186074458,3.65,0.10801234497346432,4584.0,0.0,427709.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
cic,XGBoost,0.8836157293861013,0.016168876890426755,0.5099474272573893,0.00823767715553037,0.9364880248191014,0.0010579388536155825,0.93923875,0.01763070531180379,0.9377927137239908,0.009283579145530357,0.021947929332954325,0.017999914676965198,0.5505322722400664,0.06284745343956041,0.9557026894627432,0.011670043429382828,2234.9,331.08322216627045,25474.1,331.0832221662707,24304.5,7052.282124721519,375695.5,7052.282124721525,0.9193438954852213,0.011948580683758727,0.06076125,0.0176307053118038,5.470000000000001,0.1946506842754191,4584.0,0.0,427709.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,DecisionTree(d=5),0.970710038143524,0.009499887606445715,0.9669555462758856,0.007589062697503294,0.9873690750565635,0.003289898907212699,0.9740910925517712,0.012521124664219365,0.9806444475922882,0.006375496925280835,0.9211285624052555,0.02445327794562589,0.981168039988823,0.007141852070191275,0.9900500210709776,0.004096406836108639,9598.2,107.2886035161446,401.8,107.28860351614446,834.5,403.29290430984116,31374.5,403.2929043098413,0.04018,0.010728860351614446,0.025908907448228758,0.012521124664219351,0.1,0.0,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,"KAN(cat,1L)",0.9411215617522328,0.0018362940551464955,0.9485955043621347,0.0017778827735571159,0.9877918342196482,0.001029375276488989,0.9343910087242696,0.0024280789776690097,0.9603477233878659,0.001278643535538976,0.8513441041238172,0.0041855841781154165,0.9807988225340744,0.0015739865264231855,0.9902842856767539,0.0010237716889513414,9628.0,32.05550741378997,372.0,32.05550741379015,2113.2,78.20599579174075,30095.8,78.20599579174045,0.0372,0.003205550741379015,0.06560899127573039,0.002428078977669002,0.2,0.0,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,"KAN(cat,ML)",0.9852093155488166,0.0016409121423572289,0.9803380378155173,0.002579378755801757,0.9910106652013118,0.001546309164530198,0.9895960756310348,0.0016065050370372177,0.9903016542120712,0.0010758179336760084,0.9591728352651175,0.004525231392129449,0.9949907364401254,0.0008657603981775861,0.9977928917132607,0.0004472154600569958,9710.8,50.30749888877826,289.2,50.30749888877845,335.1,51.743920737931454,31873.9,51.7439207379312,0.02892,0.005030749888877846,0.010403924368965197,0.0016065050370372086,1.98,0.04216370213557845,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,LightGBM,0.9877727498874649,0.0005122179297742385,0.9819280539600733,0.001426510292218592,0.9909624528259349,0.0012718515927061613,0.9930361079201464,0.0015545708208358217,0.9919964720838526,0.00034000610287116917,0.9661303338098831,0.0013839843574354222,0.9960905073116211,0.0010090080599886794,0.9980521771326133,0.0006373172750381626,9708.2,41.81387329583349,291.8,41.81387329583328,224.3,50.07117156830088,31984.7,50.07117156830095,0.02918,0.0041813873295833285,0.0069638920798534565,0.0015545708208358187,0.9800000000000001,0.0632455532033676,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,MLP(16),0.9452794427728684,0.019813676485593443,0.8934650704771958,0.043540786041473815,0.9402976570492598,0.023899489869114086,0.9919401409543915,0.0028524496927288456,0.9652665124953558,0.012000693148579737,0.8450163885328108,0.057392508507356714,0.9849570457015121,0.005893028577715583,0.9943881563239128,0.0024019926494911496,7949.9,887.3893608657802,2050.1,887.3893608657802,259.6,91.87455215310348,31949.4,91.8745521531033,0.20501,0.088738936086578,0.00805985904560837,0.0028524496927288486,0.32999999999999996,0.0674948557710553,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,XGBoost,0.9861996256722501,0.0014640008684154873,0.9792665529820856,0.003407472151097907,0.9895104263000789,0.002353798272208521,0.9924431059641716,0.0017580150093018069,0.9909714852035562,0.0009512686987513709,0.9617464708735406,0.0040800519982415,0.9965002921543669,0.0005394886957245374,0.9985374493332202,0.00033202569786052003,9660.9,77.53486670882711,339.1,77.53486670882693,243.4,56.62390543460126,31965.6,56.62390543460104,0.03391,0.007753486670882691,0.007556894035828496,0.0017580150093017871,0.51,0.11005049346146117,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,DecisionTree(d=5),0.40510957686680404,0.07388879881354059,0.4367345499771492,0.07733150047127804,0.5569516502756185,0.08711591311860742,0.32303899242741674,0.09054977294229226,0.4057589091655128,0.09151505157913715,-0.12776694745662437,0.15132216081692915,0.39541846183400675,0.13282090843038258,0.617683086488835,0.054748690723235814,51190.0,11426.210473196166,41810.0,11426.210473196166,111477.2,14911.102759726095,53195.8,14911.102759726093,0.4495698924731183,0.1228624782064104,0.6769610075725833,0.09054977294229227,1.8699999999999999,0.048304589153964704,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,"KAN(cat,1L)",0.41134538737081494,0.0037109956480475682,0.474568798359525,0.002469394194644437,0.5948277685736008,0.0049515081388198144,0.2472730805900178,0.007766740145712715,0.3492892545137853,0.00850948588150358,-0.05534142444584168,0.005615104833771781,0.500837830770385,0.017885701909703105,0.6108828501257964,0.006359846263347544,65273.4,471.2433200233902,27726.6,471.24332002338934,123953.8,1278.9724000149502,40719.2,1278.9724000149488,0.2981354838709677,0.005067132473369773,0.7527269194099822,0.007766740145712699,4.42,0.09189365834726801,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,"KAN(cat,ML)",0.4020060308996286,0.06197060286462737,0.42210271331473537,0.05259563175951114,0.5455217514836066,0.056782330794598594,0.34985273845742776,0.11040457715855459,0.42166892254192395,0.08719061176834347,-0.15396254499927228,0.10215239427168127,0.4209658171890869,0.0789605156674057,0.5893914832875119,0.03065198069991827,45974.8,8700.64105939582,47025.2,8700.64105939582,107061.7,18180.652934430662,57611.3,18180.652934430662,0.505647311827957,0.09355528020855722,0.6501472615425723,0.11040457715855462,7.13,0.12516655570345733,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,LightGBM,0.4371334986591533,0.12473170990075932,0.44731771348222277,0.09844618674840522,0.5624188154516933,0.09401720788092206,0.4107042441687465,0.19809265948509622,0.46583767331835874,0.15664665054684765,-0.1019244842009753,0.20158714698923966,0.44930570456053376,0.08672590423442003,0.6108769122436843,0.03486154813565079,45005.6,5563.9246979487825,47994.4,5563.9246979487825,97041.1,32620.51251538925,67631.9,32620.51251538925,0.5160688172043011,0.059827147289771856,0.5892957558312535,0.19809265948509625,12.09,0.6573515886579344,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,MLP(16),0.3210476068505431,0.005841739011663964,0.3089884649206061,0.0058548417251539095,0.459286231994925,0.00619207997737283,0.3523425212390617,0.009052335490477462,0.3987452737335452,0.007853599919378564,-0.36706009456890865,0.01126632300796071,0.3562336939012859,0.04436652719404948,0.5614224333154947,0.02981028212977834,24704.0,1019.6387159730209,68296.0,1019.6387159730203,106651.7,1490.6752422233951,58021.3,1490.6752422233953,0.7343655913978495,0.010963857161000241,0.6476574787609384,0.009052335490477468,2.56,0.06992058987801016,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,XGBoost,0.4291955307696188,0.07786966094544354,0.44942787959245917,0.05972910996698694,0.570225049549632,0.07067197310629623,0.37669016778706893,0.12917329091241958,0.44904507911903924,0.11297056006315932,-0.10195720184543552,0.11897969541480954,0.4528238666411485,0.08878793893327593,0.6064990837790776,0.029957286482373974,48561.4,4087.7710090246273,44438.6,4087.7710090246273,102642.3,21271.353334420866,62030.7,21271.35333442087,0.47783440860215054,0.043954526978759435,0.6233098322129311,0.12917329091241955,3.88,0.18135294011647257,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
