accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.5694337172993181,0.5505911947119713,0.7956056176651474,0.5864023894239426,0.6751698005290627,0.08672253090437528,0.6122174692473439,0.7794347355540301,25739,24261,66607,94436,0.48522,0.4135976105760573,XGBoost,43,0.9,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.588898944764811,0.553064750656657,0.7952729614348064,0.6211695013133138,0.6975211797929087,0.09196269623149712,0.5139295770694783,0.7080285218892161,24248,25752,61008,100035,0.51504,0.37883049868668617,MLP(16),43,1.1,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.2698786503224461,0.5121847149519072,0.8590749535411935,0.05166942990381451,0.09747611712128577,0.04951601654225105,0.7120056321603546,0.8603211366344913,48635,1365,152722,8321,0.0273,0.9483305700961855,"KAN(cat,1L)",44,1.7,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.3958387627166028,0.5027498724564247,0.766415124314878,0.29955974491284937,0.43075521902959085,0.005111439905517008,0.4438738500897276,0.7576735648685089,35297,14703,112801,48242,0.29406,0.7004402550871507,"KAN(cat,ML)",44,7.5,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.42025084935297546,0.5231792390852132,0.789555612099804,0.32755847817042655,0.46302456836395234,0.042377008948453546,0.5605999861527666,0.7923990911386992,35940,14060,108292,52751,0.2812,0.6724415218295735,DecisionTree(d=5),44,0.1,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.46837374373942753,0.5708322593344635,0.8378498014967285,0.3761045186689269,0.5191613738246462,0.1269273685958317,0.5879603899579615,0.8168314783118473,38278,11722,100474,60569,0.23444,0.6238954813310731,LightGBM,44,3.8,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.7253640253408074,0.6496253306259818,0.8379438088056912,0.7935706612519637,0.8151538152431129,0.2842188812216775,0.6648281104425526,0.8326783242007791,25284,24716,33244,127799,0.49432,0.20642933874803623,XGBoost,44,1.0,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.7013452234852613,0.5375608068652472,0.7794236712166307,0.8488416137304944,0.8126528925865487,0.08524147868100654,0.5333875034618083,0.7355779709604449,11314,38686,24343,136700,0.77372,0.15115838626950567,MLP(16),44,1.0,24327,211043,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",bot->ton,0,nocat,50.0,0.9803921568627451,0.7630814573333397
0.2591825808867986,0.45241731157932674,0.9998222321332775,0.2591323170789889,0.4115895237709644,-0.0024764325524720488,0.5704083670457176,0.9999002789699484,308,169,2717536,950509,0.35429769392033544,0.740867682921011,"KAN(cat,1L)",42,25.1,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
0.2353819876233535,0.42060191478678943,0.9997822569530104,0.23533380860921826,0.3809885934915285,-0.004268095419000748,0.33394114630317084,0.9998852308522947,289,188,2804830,863215,0.3941299790356394,0.7646661913907817,DecisionTree(d=5),42,2.0,211043,3668522,"bytes_total,bytes_src,payload_mean_src,byte_asymmetry,byte_rate,pkt_asymmetry,bytes_dst,payload_mean_dst,flow_rate,pkts_total",ton->bot,0,nocat,50.0,0.7630814573333397,0.999869974883618
