accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,exp,fold,variant,ratio,train_pos_rate,test_pos_rate
0.9998623423069792,0.9683563042438138,0.9999918202639329,0.9998705032244696,0.999931158064492,0.6731093180160576,0.9998471722818644,0.9999999760472118,89,6,95,733514,0.0631578947368421,0.0001294967755302,XGBoost,43,3.3,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.99972741050887,0.9261890189460598,0.999980911789288,0.9997464589447512,0.999863671623112,0.5084981075613079,0.9974800429685368,0.9999996564721628,81,14,186,733423,0.1473684210526315,0.0002535410552487,MLP(16),43,4.0,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,4,cat,50.0,0.9803921568627452,0.9998705199917132
0.9884353908388124,0.9942169466296078,1.0,0.9884338932592156,0.9941833083915974,0.1046145215485759,0.9992016828697864,0.999999892325844,95,0,8485,725124,0.0,0.0115661067407842,"KAN(cat,1L)",43,10.6,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9965735500964968,0.9982865531911412,1.0,0.9965731063822828,0.9982836122520318,0.1904931417831896,0.9999211899125096,0.9999999877274844,95,0,2514,731095,0.0,0.0034268936177173,"KAN(cat,ML)",43,49.6,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.994833066195632,0.9974161985471826,1.0,0.994832397094365,0.9974095052230142,0.1559499947270572,0.9996937490937916,0.999999938203693,95,0,3791,729818,0.0,0.005167602905635,DecisionTree(d=5),43,1.4,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9967752663199329,0.9983874243636596,1.0,0.9967748487273194,0.9983848197633618,0.1961573254154396,0.9999245546763724,0.9999999861031128,95,0,2366,731243,0.0,0.0032251512726806,LightGBM,43,9.3,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9998350833578664,0.978867625669805,0.9999945466641944,0.9998405144975048,0.9999175246488834,0.6473051441238059,0.9999222588886624,0.9999999857867664,91,4,117,733492,0.0421052631578947,0.0001594855024951,XGBoost,43,3.2,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9997928319867412,0.9420091629192118,0.9999850029789538,0.999807799522634,0.9998963933997144,0.5744738903305995,0.9986120384937596,0.9999998130961658,84,11,141,733468,0.1157894736842105,0.000192200477366,MLP(16),43,3.9,19482,733704,"bytes_src,byte_asymmetry,payload_mean_src,byte_rate,bytes_total,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,5,cat,50.0,0.9803921568627452,0.9998705199917132
0.9891564048221017,0.9945774929151632,1.0,0.9891549858303263,0.994547929021656,0.1085965192993694,0.9992667174089558,0.9999998983187924,96,0,7956,725653,0.0,0.0108450141696734,"KAN(cat,1L)",44,10.4,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,1,cat,50.0,0.9803921568627452,0.9998691572225896
0.9965067704322582,0.998253156654294,1.0,0.996506313308588,0.9982500998528664,0.1896777874723549,0.9998721929302032,0.999999980460314,96,0,2563,731046,0.0,0.0034936866914119,"KAN(cat,ML)",44,49.6,19431,733705,"bytes_src,byte_asymmetry,payload_mean_src,bytes_total,byte_rate,duration,flow_rate,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,bot->bot,1,cat,50.0,0.9803921568627452,0.9998691572225896
