exp,seed,selezione,stima,budget,normali,bal_acc
bot->ton,44,adattiva,Firth,8,1,0.5347460068379688
bot->ton,44,adattiva,L2,32,9,0.8673211818420447
bot->ton,44,adattiva,Firth,32,9,0.8701468185152721
bot->ton,44,adattiva,L2,128,25,0.9090944732960491
bot->ton,44,adattiva,Firth,128,25,0.9108242738244977
bot->ton,44,kcenter,L2,8,4,0.7852174711151116
bot->ton,44,kcenter,Firth,8,4,0.7838208523283121
bot->ton,44,kcenter,L2,32,12,0.7797298761451666
bot->ton,44,kcenter,Firth,32,12,0.6998836178455943
bot->ton,44,kcenter,L2,128,47,0.7852920945002426
bot->ton,44,kcenter,Firth,128,47,0.7853027943482366
bot->ton,44,margine+kcenter,L2,8,1,0.7263194300747338
bot->ton,44,margine+kcenter,Firth,8,1,0.7748605648980265
bot->ton,44,margine+kcenter,L2,32,2,0.7293522929082095
bot->ton,44,margine+kcenter,Firth,32,2,0.6053850504898697
bot->ton,44,margine+kcenter,L2,128,14,0.6610235441730408
bot->ton,44,margine+kcenter,Firth,128,14,0.5098092266460972
bot->ton,45,adattiva,L2,8,2,0.704538725337087
bot->ton,45,adattiva,Firth,8,2,0.7301758133404008
bot->ton,45,adattiva,L2,32,13,0.7549825569537786
bot->ton,45,adattiva,Firth,32,13,0.8517947157069662
bot->ton,45,adattiva,L2,128,39,0.7755931365346888
bot->ton,45,adattiva,Firth,128,39,0.9288782202290458
bot->ton,45,kcenter,L2,8,5,0.6779484095950579
bot->ton,45,kcenter,Firth,8,5,0.8663555802301541
bot->ton,45,kcenter,L2,32,15,0.7723160857936564
bot->ton,45,kcenter,Firth,32,15,0.78513076596336
bot->ton,45,kcenter,L2,128,50,0.7822507299023933
bot->ton,45,kcenter,Firth,128,50,0.7818006628378449
bot->ton,45,margine+kcenter,L2,8,5,0.6247621380990558
bot->ton,45,margine+kcenter,Firth,8,5,0.6039737375376881
bot->ton,45,margine+kcenter,L2,32,7,0.7642071267463192
bot->ton,45,margine+kcenter,Firth,32,7,0.3549035163746659
bot->ton,45,margine+kcenter,L2,128,8,0.8107524313750195
bot->ton,45,margine+kcenter,Firth,128,8,0.4240840968141152
bot->ton,46,adattiva,—,8,0,
bot->ton,46,adattiva,L2,32,9,0.913954469014707
bot->ton,46,adattiva,Firth,32,9,0.8977145628481167
bot->ton,46,adattiva,L2,128,34,0.9345972012237357
bot->ton,46,adattiva,Firth,128,34,0.9492653829076121
bot->ton,46,kcenter,L2,8,6,0.6094537998144889
bot->ton,46,kcenter,Firth,8,6,0.6367099721143952
bot->ton,46,kcenter,L2,32,14,0.7801516243830993
bot->ton,46,kcenter,Firth,32,14,0.6792134121727349
bot->ton,46,kcenter,L2,128,47,0.785048425633414
bot->ton,46,kcenter,Firth,128,47,0.7848064795997514
bot->ton,46,margine+kcenter,L2,8,2,0.6934610620886021
bot->ton,46,margine+kcenter,Firth,8,2,0.6069303408511831
bot->ton,46,margine+kcenter,L2,32,6,0.7159721946961178
bot->ton,46,margine+kcenter,Firth,32,6,0.6224874063394845
bot->ton,46,margine+kcenter,L2,128,29,0.6109991612388391
bot->ton,46,margine+kcenter,Firth,128,29,0.30208174969039453
bot->ton,47,adattiva,L2,8,2,0.7737981599593349
bot->ton,47,adattiva,Firth,8,2,0.6537727205170474
bot->ton,47,adattiva,L2,32,5,0.8289475485780804
bot->ton,47,adattiva,Firth,32,5,0.642277066430745
bot->ton,47,adattiva,L2,128,27,0.946618418294775
bot->ton,47,adattiva,Firth,128,27,0.9384419749555739
bot->ton,47,kcenter,L2,8,4,0.8496774780451379
bot->ton,47,kcenter,Firth,8,4,0.7788882887455244
bot->ton,47,kcenter,L2,32,14,0.7754017487262526
bot->ton,47,kcenter,Firth,32,14,0.7778199632273376
bot->ton,47,kcenter,L2,128,48,0.7822199804036797
bot->ton,47,kcenter,Firth,128,48,0.7802789059734256
bot->ton,47,margine+kcenter,L2,8,2,0.7678550061952552
bot->ton,47,margine+kcenter,Firth,8,2,0.771048871351825
bot->ton,47,margine+kcenter,L2,32,2,0.7783973634662253
bot->ton,47,margine+kcenter,Firth,32,2,0.45729727774939466
bot->ton,47,margine+kcenter,L2,128,19,0.7360782556628108
bot->ton,47,margine+kcenter,Firth,128,19,0.6216290459105741
bot->ton,48,adattiva,—,8,0,
bot->ton,48,adattiva,L2,32,12,0.8145449809303729
bot->ton,48,adattiva,Firth,32,12,0.8770506138069524
bot->ton,48,adattiva,L2,128,40,0.7703818868831824
bot->ton,48,adattiva,Firth,128,40,0.9329393053755235
bot->ton,48,kcenter,L2,8,3,0.7041875278323527
bot->ton,48,kcenter,Firth,8,3,0.7200316153148699
bot->ton,48,kcenter,L2,32,11,0.7852852186858088
bot->ton,48,kcenter,Firth,32,11,0.7842509301444537
bot->ton,48,kcenter,L2,128,49,0.7831425669400738
bot->ton,48,kcenter,Firth,128,49,0.7821986049049173
bot->ton,48,margine+kcenter,L2,8,1,0.7255932609647995
bot->ton,48,margine+kcenter,Firth,8,1,0.7798106162699523
bot->ton,48,margine+kcenter,L2,32,1,0.7284951389907981
bot->ton,48,margine+kcenter,Firth,32,1,0.7840136829691107
bot->ton,48,margine+kcenter,L2,128,8,0.7228190710099753
bot->ton,48,margine+kcenter,Firth,128,8,0.46042960524063226
bot->ton,49,adattiva,L2,8,3,0.8091136856703559
bot->ton,49,adattiva,Firth,8,3,0.655819121623359
bot->ton,49,adattiva,L2,32,14,0.836714666506249
bot->ton,49,adattiva,Firth,32,14,0.9221220281688187
bot->ton,49,adattiva,L2,128,35,0.8484423084975885
bot->ton,49,adattiva,Firth,128,35,0.962854493019298
bot->ton,49,kcenter,L2,8,5,0.7148378567364934
bot->ton,49,kcenter,Firth,8,5,0.5986739145225999
bot->ton,49,kcenter,L2,32,14,0.7486218773767135
bot->ton,49,kcenter,Firth,32,14,0.7796475426719854
bot->ton,49,kcenter,L2,128,51,0.7853076567655561
bot->ton,49,kcenter,Firth,128,51,0.7852859130432794
bot->ton,49,margine+kcenter,L2,8,2,0.6017209439658349
bot->ton,49,margine+kcenter,Firth,8,2,0.6806477398908546
bot->ton,49,margine+kcenter,L2,32,5,0.6019713625483878
bot->ton,49,margine+kcenter,Firth,32,5,0.3064531844449909
bot->ton,49,margine+kcenter,L2,128,20,0.6523486913639536
bot->ton,49,margine+kcenter,Firth,128,20,0.7116996271898638
bot->ton,50,adattiva,—,8,0,
bot->ton,50,adattiva,—,32,0,
bot->ton,50,adattiva,—,128,0,
bot->ton,50,kcenter,L2,8,6,0.5739838211475647
bot->ton,50,kcenter,Firth,8,6,0.5856400155640462
bot->ton,50,kcenter,L2,32,18,0.7799678681510944
bot->ton,50,kcenter,Firth,32,18,0.7840336630446784
bot->ton,50,kcenter,L2,128,54,0.7816631012801842
bot->ton,50,kcenter,Firth,128,54,0.7766353192077565
bot->ton,50,margine+kcenter,L2,8,3,0.7762929905999654
bot->ton,50,margine+kcenter,Firth,8,3,0.39784313101086644
bot->ton,50,margine+kcenter,L2,32,4,0.7848538479606643
bot->ton,50,margine+kcenter,Firth,32,4,0.31198374589341116
bot->ton,50,margine+kcenter,L2,128,24,0.7748493633066378
bot->ton,50,margine+kcenter,Firth,128,24,0.7493395199264241
bot->ton,51,adattiva,—,8,0,
bot->ton,51,adattiva,—,32,0,
bot->ton,51,adattiva,—,128,0,
bot->ton,51,kcenter,L2,8,5,0.7541831847119138
bot->ton,51,kcenter,Firth,8,5,0.7836710720252353
bot->ton,51,kcenter,L2,32,15,0.7835999161503695
bot->ton,51,kcenter,Firth,32,15,0.7722969571805055
bot->ton,51,kcenter,L2,128,50,0.7853380330288353
bot->ton,51,kcenter,Firth,128,50,0.7833817938710306
bot->ton,51,margine+kcenter,—,8,0,
bot->ton,51,margine+kcenter,—,32,0,
bot->ton,51,margine+kcenter,L2,128,12,0.7307169181651152
bot->ton,51,margine+kcenter,Firth,128,12,0.5852468283378336
