exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias
ton->unsw,46,intero + guadagni interi n=32,0.5675904070572526,,32.0,,"[182, 63, 228, -71, -267, -9, 27, -57, 260, 5, -70, -620]",2000.0
ton->unsw,46,intero + guadagni float  n=128,0.7637337301586118,,128.0,67.0,,
ton->unsw,46,intero + guadagni interi n=128,0.4913286452544272,,128.0,,"[58, 3, 40, -38, -457, -69, 1, -89, 268, -1, -85, -882]",2000.0
ton->unsw,47,float non adattato,0.2303150215784439,,,,,
ton->unsw,47,intero non adattato,0.2896516447160286,0.9001990895437241,,,,
ton->unsw,47,intero + guadagni float  n=8,0.7284532711235949,,8.0,5.0,,
ton->unsw,47,intero + guadagni interi n=8,0.7387292682623653,,8.0,,"[-37, 245, 29, -74, -237, 113, 205, -173, 255, -256, -376, -1779]",2000.0
ton->unsw,47,intero + guadagni float  n=32,0.6940527674511321,,32.0,18.0,,
ton->unsw,47,intero + guadagni interi n=32,0.7612325726537517,,32.0,,"[98, 101, 56, -25, -512, -171, 30, -44, 130, 7, -42, -3316]",2000.0
ton->unsw,47,intero + guadagni float  n=128,0.5927762717615725,,128.0,74.0,,
ton->unsw,47,intero + guadagni interi n=128,0.5983739358011488,,128.0,,"[-163, 157, -54, -33, 2, -256, 33, 32, 756, -36, 628, -2351]",0.0
ton->unsw,48,float non adattato,0.23652956200783448,,,,,
ton->unsw,48,intero non adattato,0.3016451607026477,0.902554788433402,,,,
ton->unsw,48,intero + guadagni float  n=8,0.6353508368981786,,8.0,6.0,,
ton->unsw,48,intero + guadagni interi n=8,0.701915734782203,,8.0,,"[140, -12, -56, -135, -228, 87, -60, 34, 374, -4, 40, -3635]",0.0
ton->unsw,48,intero + guadagni float  n=32,0.4692939596187258,,32.0,15.0,,
ton->unsw,48,intero + guadagni interi n=32,0.4600878596418978,,32.0,,"[-135, -147, -47, 45, -512, 99, 40, -58, -48, -5, 168, 927]",1391.0
ton->unsw,48,intero + guadagni float  n=128,0.4829911188922791,,128.0,64.0,,
ton->unsw,48,intero + guadagni interi n=128,0.481852227938835,,128.0,,"[-81, 34, -1, -20, -330, -55, -16, 15, -10, -48, -1, 633]",0.0
ton->unsw,49,float non adattato,0.2171081637254516,,,,,
ton->unsw,49,intero non adattato,0.3137562511471904,0.8703317770973288,,,,
ton->unsw,49,intero + guadagni float  n=8,0.6753199977210681,,8.0,3.0,,
ton->unsw,49,intero + guadagni interi n=8,0.6569873321758426,,8.0,,"[-284, 51, 101, 128, -141, -104, -180, -154, 62, -33, -188, -1362]",1964.0
ton->unsw,49,intero + guadagni float  n=32,0.7758860689215616,,32.0,19.0,,
ton->unsw,49,intero + guadagni interi n=32,0.7793471161576859,,32.0,,"[238, 240, 30, -46, -303, -158, 79, -91, 120, -81, 10, -701]",2000.0
ton->unsw,49,intero + guadagni float  n=128,0.49744860531067797,,128.0,76.0,,
ton->unsw,49,intero + guadagni interi n=128,0.492478425001433,,128.0,,"[143, 53, 51, -35, -247, -237, 58, -68, -17, -68, 480, 234]",527.0
ton->unsw,50,float non adattato,0.22350022664663088,,,,,
ton->unsw,50,intero non adattato,0.2885157008131266,0.9083916436724065,,,,
ton->unsw,50,intero + guadagni float  n=8,0.46077814633416614,,8.0,5.0,,
ton->unsw,50,intero + guadagni interi n=8,0.4059519598366581,,8.0,,"[140, -12, 361, 35, -231, -71, 232, 109, 213, 173, -203, 4600]",0.0
ton->unsw,50,intero + guadagni float  n=32,0.4950753143830774,,32.0,25.0,,
ton->unsw,50,intero + guadagni interi n=32,0.4952505471920481,,32.0,,"[-155, -9, -66, 17, -871, -94, 69, 34, 509, -56, 356, 485]",0.0
ton->unsw,50,intero + guadagni float  n=128,0.4818369869430214,,128.0,81.0,,
ton->unsw,50,intero + guadagni interi n=128,0.49779098226412866,,128.0,,"[136, -1, 27, -3, -734, 18, -31, -2, 251, -70, 99, -106]",1136.0
ton->unsw,51,float non adattato,0.22158421577621182,,,,,
ton->unsw,51,intero non adattato,0.2814583270892872,0.9246059928669282,,,,
ton->unsw,51,intero + guadagni float  n=8,0.5057897227137469,,8.0,6.0,,
ton->unsw,51,intero + guadagni interi n=8,0.4705828186746819,,8.0,,"[70, -122, 230, -16, -122, -244, 440, 116, 176, 26, 514, -4987]",0.0
ton->unsw,51,intero + guadagni float  n=32,0.46662607316490806,,32.0,21.0,,
ton->unsw,51,intero + guadagni interi n=32,0.4222644286126581,,32.0,,"[249, 32, -46, -59, -274, -33, -32, 183, 206, -8, 451, 259]",0.0
