exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
ton->bot,51,intero + guadagni interi n=32,0.7037112221459354,50.0,,32.0,,0.7218017576405528,"[-354, 102, -177, -17, -163, -223, 16, 33, -89, 20, 514, 936]",1004.0,6000.0
ton->bot,51,intero + guadagni float  n=128,0.8177719509122874,50.0,,128.0,17.0,0.7907697695360705,,,
ton->bot,51,intero + guadagni interi n=128,0.5729670068537696,50.0,,128.0,,0.5950887645856462,"[-437, 76, -42, -37, -156, -209, 53, 59, -275, 54, 284, -277]",0.0,6000.0
bot->ton,42,float non adattato,0.590449634569649,50.0,,,,,,,
bot->ton,42,intero non adattato,0.6640593029190961,50.0,0.7793909298105125,,,,,,
bot->ton,42,intero + guadagni float  n=8,0.7115873493722646,50.0,,8.0,2.0,0.7074846062188649,,,
bot->ton,42,intero + guadagni interi n=8,0.5992159351328585,50.0,,8.0,,0.5930614569966288,"[79, 233, 201, 102, 67, 1239, 672, -238, 92, 460, -220, -477]",3815.0,6000.0
bot->ton,42,intero + guadagni float  n=32,0.8437021217313998,50.0,,32.0,5.0,0.8452543769112905,,,
bot->ton,42,intero + guadagni interi n=32,0.8264353315244062,50.0,,32.0,,0.8267754652812049,"[128, 69, 139, 73, -58, 67, -252, -120, 128, 183, 1024, -164]",0.0,6000.0
bot->ton,42,intero + guadagni float  n=128,0.8835512546832036,50.0,,128.0,27.0,0.8857495258792318,,,
bot->ton,42,intero + guadagni interi n=128,0.884187338873008,50.0,,128.0,,0.8870112436374283,"[-17, -12, 5, 26, 60, -12, -208, -192, 128, 95, 1024, -276]",0.0,6000.0
bot->ton,43,float non adattato,0.7105053078991326,50.0,,,,,,,
bot->ton,43,intero non adattato,0.7666631183596928,50.0,0.8664205872736835,,,,,,
bot->ton,43,intero + guadagni interi n=8,,50.0,,8.0,,,,,
bot->ton,43,intero + guadagni float  n=32,0.8682502739216049,50.0,,32.0,7.0,0.8705407582854268,,,
bot->ton,43,intero + guadagni interi n=32,0.8572758194292487,50.0,,32.0,,0.8600957599018639,"[15, 88, 41, 206, -12, -159, -104, -37, 128, 67, 811, -949]",3114.0,6000.0
bot->ton,43,intero + guadagni float  n=128,0.8628383219368039,50.0,,128.0,28.0,0.8626946940309957,,,
bot->ton,43,intero + guadagni interi n=128,0.8717549179223372,50.0,,128.0,,0.8729349636652998,"[35, 36, 21, 22, 44, -214, -146, -664, 128, 121, 1110, -766]",162.0,6000.0
bot->ton,44,float non adattato,0.49563425904882547,50.0,,,,,,,
bot->ton,44,intero non adattato,0.6802687120831082,50.0,0.710755627999981,,,,,,
