exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,ratio
bot->ton,44,martingala_int,4,0.211,0.8467793881352716,2,64,20.0
bot->ton,44,statico,5,0.263,0.8689388635959294,0,0,20.0
bot->ton,44,ogni_batch_int,5,0.263,0.8056760559251985,5,160,20.0
bot->ton,44,martingala_int,5,0.263,0.8046612511937375,3,96,20.0
bot->ton,44,statico,6,0.316,0.8520571091504798,0,0,20.0
bot->ton,44,ogni_batch_int,6,0.316,0.8595049500018259,6,192,20.0
bot->ton,44,martingala_int,6,0.316,0.8972269711280028,4,128,20.0
bot->ton,44,statico,7,0.368,0.8338793876801107,0,0,20.0
bot->ton,44,ogni_batch_int,7,0.368,0.8877674845164854,7,224,20.0
bot->ton,44,martingala_int,7,0.368,0.8992239767126297,5,160,20.0
bot->ton,44,statico,8,0.421,0.8275802945878756,0,0,20.0
bot->ton,44,ogni_batch_int,8,0.421,0.9301560551229217,8,256,20.0
bot->ton,44,martingala_int,8,0.421,0.8821518754237596,6,192,20.0
bot->ton,44,statico,9,0.474,0.8052461314363819,0,0,20.0
bot->ton,44,ogni_batch_int,9,0.474,0.9331102652871865,9,288,20.0
bot->ton,44,martingala_int,9,0.474,0.8716627091418823,7,224,20.0
bot->ton,44,statico,10,0.526,0.7887732458274175,0,0,20.0
bot->ton,44,ogni_batch_int,10,0.526,0.9397744100723737,10,320,20.0
bot->ton,44,martingala_int,10,0.526,0.877997765282186,8,256,20.0
bot->ton,44,statico,11,0.579,0.7770230447279555,0,0,20.0
bot->ton,44,ogni_batch_int,11,0.579,0.9296714188593069,11,352,20.0
bot->ton,44,martingala_int,11,0.579,0.9306065367679273,9,288,20.0
bot->ton,44,statico,12,0.632,0.7592067424473035,0,0,20.0
bot->ton,44,ogni_batch_int,12,0.632,0.859636763626392,12,384,20.0
bot->ton,44,martingala_int,12,0.632,0.850223661156225,10,320,20.0
bot->ton,44,statico,13,0.684,0.742482047179059,0,0,20.0
bot->ton,44,ogni_batch_int,13,0.684,0.9162853559747148,13,416,20.0
bot->ton,44,martingala_int,13,0.684,0.8551292531751362,11,352,20.0
bot->ton,44,statico,14,0.737,0.7219022727776443,0,0,20.0
bot->ton,44,ogni_batch_int,14,0.737,0.8541102990191816,14,448,20.0
bot->ton,44,martingala_int,14,0.737,0.9224607919856926,12,384,20.0
bot->ton,44,statico,15,0.789,0.705104308785108,0,0,20.0
bot->ton,44,ogni_batch_int,15,0.789,0.8861287549935941,15,480,20.0
bot->ton,44,martingala_int,15,0.789,0.9176940500184836,13,416,20.0
bot->ton,44,statico,16,0.842,0.6928159561333254,0,0,20.0
bot->ton,44,ogni_batch_int,16,0.842,0.8583672883821698,16,512,20.0
bot->ton,44,martingala_int,16,0.842,0.932574191107986,14,448,20.0
bot->ton,44,statico,17,0.895,0.678287652166436,0,0,20.0
bot->ton,44,ogni_batch_int,17,0.895,0.8572983860017507,17,544,20.0
bot->ton,44,martingala_int,17,0.895,0.9168379909884701,15,480,20.0
bot->ton,44,statico,18,0.947,0.6474700919460827,0,0,20.0
bot->ton,44,ogni_batch_int,18,0.947,0.8737061371698089,18,576,20.0
bot->ton,44,martingala_int,18,0.947,0.9041132098600899,16,512,20.0
bot->ton,44,statico,19,1.0,0.6288348362718343,0,0,20.0
bot->ton,44,ogni_batch_int,19,1.0,0.8415908032981114,19,608,20.0
