exp,seed,spazio,metodo,bal_acc,n_feature,bal_in_domain,roc_auc
ton->bot,50,ricco (13+2),128 etichette,0.831788228867492,10,0.9696314299990677,
ton->bot,50,ridotto (6+2),non adattato,0.6209621855345913,6,0.9590421471520999,0.6056127306079664
ton->bot,50,ridotto (6+2),32 etichette,,6,0.9590421471520999,
ton->bot,50,ridotto (6+2),128 etichette,,6,0.9590421471520999,
ton->bot,51,ricco (13+2),non adattato,0.5714091037735849,10,0.9695161850075624,0.5450740461215933
ton->bot,51,ricco (13+2),32 etichette,0.8980320163439078,10,0.9695161850075624,
ton->bot,51,ricco (13+2),128 etichette,0.9074876813996176,10,0.9695161850075624,
ton->bot,51,ridotto (6+2),non adattato,0.6291860953878406,6,0.9616819289106677,0.5936402515723269
ton->bot,51,ridotto (6+2),32 etichette,0.551485883385934,6,0.9616819289106677,
ton->bot,51,ridotto (6+2),128 etichette,0.54972742177361,6,0.9616819289106677,
bot->ton,42,ricco (13+2),non adattato,0.590449634569649,10,0.9926415094339622,0.8249252127692603
bot->ton,42,ricco (13+2),32 etichette,0.9141534359466467,10,0.9926415094339622,
bot->ton,42,ricco (13+2),128 etichette,0.940430470590694,10,0.9926415094339622,
bot->ton,42,ridotto (6+2),non adattato,0.5699646145439417,6,0.9923060796645702,0.775003047695336
bot->ton,42,ridotto (6+2),32 etichette,0.8315980598380651,6,0.9923060796645702,
bot->ton,42,ridotto (6+2),128 etichette,0.8372642700945048,6,0.9923060796645702,
bot->ton,43,ricco (13+2),non adattato,0.7105053078991326,10,0.9919496855345912,0.8666284890370894
bot->ton,43,ricco (13+2),32 etichette,0.9004846347695834,10,0.9919496855345912,
bot->ton,43,ricco (13+2),128 etichette,0.9047042244963022,10,0.9919496855345912,
bot->ton,43,ridotto (6+2),non adattato,0.5686509575703383,6,0.9914884696016771,0.7756681542196804
bot->ton,43,ridotto (6+2),32 etichette,0.8858792143382125,6,0.9914884696016771,
bot->ton,43,ridotto (6+2),128 etichette,0.8952897551673318,6,0.9914884696016771,
bot->ton,44,ricco (13+2),non adattato,0.49563425904882547,10,0.9938364779874214,0.7684339282055105
bot->ton,44,ricco (13+2),32 etichette,0.8668552359617945,10,0.9938364779874214,
bot->ton,44,ricco (13+2),128 etichette,0.9085406989474776,10,0.9938364779874214,
bot->ton,44,ridotto (6+2),non adattato,0.4840073677216644,6,0.9930817610062893,0.7444874832187676
bot->ton,44,ridotto (6+2),32 etichette,0.8261920623391001,6,0.9930817610062893,
bot->ton,44,ridotto (6+2),128 etichette,0.8898202806582423,6,0.9930817610062893,
bot->ton,45,ricco (13+2),non adattato,0.5778067830951982,10,0.9942557651991615,0.7998400044087604
bot->ton,45,ricco (13+2),32 etichette,0.7556817756237821,10,0.9942557651991615,
bot->ton,45,ricco (13+2),128 etichette,0.7762294977652444,10,0.9942557651991615,
bot->ton,45,ridotto (6+2),non adattato,0.5825166291611557,6,0.9926415094339622,0.7551502801115231
bot->ton,45,ridotto (6+2),32 etichette,0.7811140960637972,6,0.9926415094339622,
bot->ton,45,ridotto (6+2),128 etichette,0.7844537549594568,6,0.9926415094339622,
bot->ton,46,ricco (13+2),non adattato,0.6121975759890216,10,0.9922431865828092,0.856317028495495
bot->ton,46,ricco (13+2),32 etichette,0.9139528438730857,10,0.9922431865828092,
bot->ton,46,ricco (13+2),128 etichette,0.934840606185126,10,0.9922431865828092,
bot->ton,46,ridotto (6+2),non adattato,0.5740802889290437,6,0.9923689727463312,0.7677845107207393
bot->ton,46,ridotto (6+2),32 etichette,0.7492990459866391,6,0.9923689727463312,
bot->ton,46,ridotto (6+2),128 etichette,0.8376752868355508,6,0.9923689727463312,
bot->ton,47,ricco (13+2),non adattato,0.6087325486981737,10,0.9923899371069183,0.8305593809727836
bot->ton,47,ricco (13+2),32 etichette,0.828785190003496,10,0.9923899371069183,
bot->ton,47,ricco (13+2),128 etichette,0.9462888776423857,10,0.9923899371069183,
