exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti
ton->bot,43,ogni_batch,3,0.158,0.9421445844010539,3,96,False,0.0369
ton->bot,43,su_innesco,3,0.158,0.9190113053220897,0,0,False,0.0369
ton->bot,43,oracolo,3,0.158,0.9558699307771685,3,96,False,0.0369
ton->bot,43,stat_13x13,3,0.158,0.962181250730086,3,96,False,0.0369
ton->bot,43,martingala,3,0.158,0.9190113053220897,0,0,False,0.0369
ton->bot,43,stat_13x13_adaptive,3,0.158,0.932184289440462,3,96,False,0.0369
ton->bot,43,statico,4,0.211,0.9019593138638855,0,0,False,0.0383
ton->bot,43,ogni_batch,4,0.211,0.9620112743714087,4,128,False,0.0383
ton->bot,43,su_innesco,4,0.211,0.9019593138638855,0,0,False,0.0383
ton->bot,43,oracolo,4,0.211,0.9549948932142027,4,128,False,0.0383
ton->bot,43,stat_13x13,4,0.211,0.918781087039559,4,128,False,0.0383
ton->bot,43,martingala,4,0.211,0.9019593138638855,0,0,False,0.0383
ton->bot,43,stat_13x13_adaptive,4,0.211,0.8453365288803268,4,128,False,0.0383
ton->bot,43,statico,5,0.263,0.8857662098979653,0,0,False,0.0426
ton->bot,43,ogni_batch,5,0.263,0.9476216212698436,5,160,False,0.0426
ton->bot,43,su_innesco,5,0.263,0.8857662098979653,0,0,False,0.0426
ton->bot,43,oracolo,5,0.263,0.9561958914563757,5,160,False,0.0426
ton->bot,43,stat_13x13,5,0.263,0.9567800267779027,5,160,False,0.0426
ton->bot,43,martingala,5,0.263,0.8792301044883761,1,32,False,0.0426
ton->bot,43,stat_13x13_adaptive,5,0.263,0.9523842912201808,5,160,False,0.0426
ton->bot,43,statico,6,0.316,0.8701361927521879,0,0,False,0.0446
ton->bot,43,ogni_batch,6,0.316,0.9369744287426587,6,192,False,0.0446
ton->bot,43,su_innesco,6,0.316,0.8701361927521879,0,0,False,0.0446
ton->bot,43,oracolo,6,0.316,0.9594264724600433,6,192,False,0.0446
ton->bot,43,stat_13x13,6,0.316,0.9638666024862428,6,192,False,0.0446
ton->bot,43,martingala,6,0.316,0.9088829560469716,2,64,False,0.0446
ton->bot,43,stat_13x13_adaptive,6,0.316,0.9617227100182097,6,192,False,0.0446
ton->bot,43,statico,7,0.368,0.8538067676186947,0,0,False,0.0525
ton->bot,43,ogni_batch,7,0.368,0.9622767909284273,7,224,False,0.0525
ton->bot,43,su_innesco,7,0.368,0.8538067676186947,0,0,False,0.0525
ton->bot,43,oracolo,7,0.368,0.9567759376451562,7,224,False,0.0525
ton->bot,43,stat_13x13,7,0.368,0.9623517526841046,7,224,False,0.0525
ton->bot,43,martingala,7,0.368,0.962522201438085,3,96,False,0.0525
ton->bot,43,stat_13x13_adaptive,7,0.368,0.9619787679358798,7,224,False,0.0525
ton->bot,43,statico,8,0.421,0.8415186495046567,0,0,False,0.05445
ton->bot,43,ogni_batch,8,0.421,0.9676877855650313,8,256,False,0.05445
ton->bot,43,su_innesco,8,0.421,0.8415186495046567,0,0,False,0.05445
