exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
ton->bot,45,DecisionTree(d=5),0.5748579988483632,0.5979187954940655,0.43275876315596434,0.9942075266854193,0.6939203354297694,0.45579566226695695,0.8380715910980732,0.5,4.2,0.5555413790664449,0.5,0.5748579988483632
ton->bot,45,LightGBM,0.4739026041305748,0.6522758487473432,0.5789493585248698,0.9999715551747047,0.6687631027253669,0.2790421055357827,0.0023231588717325794,0.5,100.1,0.620800041281223,0.5,0.47390301306776067
ton->bot,45,XGBoost,0.5511244479501591,0.5612962880708767,0.3890752493660238,0.9999294895773179,0.6876310272536688,0.4146178686466496,0.4316440224647522,0.5,49.1,0.4042018835955414,0.5,0.5511461216210112
ton->bot,45,MLP(16),0.35450417033484893,0.5723201069530487,0.317938456885331,0.9981673670386171,0.3941299790356394,0.31487836163405847,0.0030519426029977535,0.5,77.0,0.4957140322320175,0.5,0.35453075125193145
ton->bot,46,"KAN(cat,1L)",0.5678042413290306,0.6162418996680588,0.5333167846656202,0.9929574826599106,0.6939203354297694,0.4416881472282919,0.2718550663458811,0.0,77.8,0.49460670863368106,0.5073375262054507,0.6069392305310457
ton->bot,46,"KAN(cat,ML)",0.5338054008759937,0.5813183756513164,0.4935723664631694,0.9997167273336933,0.7945492662473794,0.27306153550460804,-5.877235412597656,0.0,266.1,0.4827740031389516,0.5,0.489701526521364
ton->bot,46,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074963718,0.5,1.9,0.5555413790664449,0.5,0.5465708337946023
ton->bot,46,LightGBM,0.47448332865541765,0.5762949984041591,0.5200030464248612,0.9999712244555801,0.6540880503144654,0.29487860699637,0.0020150259529792655,0.5,29.0,0.5491954826712324,0.5,0.4744845554669753
ton->bot,46,XGBoost,0.5089514618222716,0.5647393151321765,0.4379862452105733,0.9999323440323393,0.6855345911949685,0.33236833244957464,0.3775987923145294,0.5,18.8,0.47462619147571267,0.5,0.5121038222758647
ton->bot,46,MLP(16),0.3892435637394889,0.56538897657891,0.3199215050358442,0.9984210597790653,0.3668763102725367,0.41161081720644105,0.0009337661627294707,0.5,50.1,0.4511711605219825,0.5,0.3906090050031593
ton->bot,47,"KAN(cat,1L)",0.5520787898904543,0.6168824950545392,0.5368322030392388,0.9928495650230064,0.6624737945492662,0.4416837852316425,0.49702096159966125,0.0,58.5,0.4945594082325137,0.5041928721174004,0.5857091890840473
ton->bot,47,"KAN(cat,ML)",0.49817805881221444,0.5886578102303013,0.46536930472845445,0.9997784340207274,0.6226415094339622,0.3737146081904666,-6.152608871459961,0.0,212.9,0.4942861356008332,0.5,0.5207395511555172
ton->bot,47,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074963756,0.5,1.9,0.5555413790664449,0.5,0.5465708337946023
ton->bot,47,LightGBM,0.46339997697777946,0.6797611405613041,0.5748013374720748,0.9999713962730451,0.6477987421383647,0.2790012118171942,0.001914907789962416,0.5,28.6,0.6300394371763504,0.5,0.4634065199727536
ton->bot,47,XGBoost,0.578846402372821,0.578837133129941,0.4810588740008034,0.9999301038232025,0.7023060796645703,0.4553867250810718,0.5045550465583801,0.5,19.9,0.49774249698640305,0.5,0.5788480381215646
ton->bot,47,MLP(16),0.44170718295423617,0.5154753181932099,0.34405823399267466,0.9986108112119123,0.4276729559748428,0.4557414099336295,0.00017646054810154004,0.5,55.2,0.397705498030153,0.5,0.44170718295423617
ton->bot,48,"KAN(cat,1L)",0.5488367601712258,0.6122815913570832,0.5093884033467088,0.9929166741801879,0.660377358490566,0.4372961618518857,0.2605338188023213,0.0,59.8,0.45723140586263267,0.5052410901467506,0.5389116686333802
ton->bot,48,"KAN(cat,ML)",0.535712941675701,0.5761218596578274,0.421852360399011,0.999751754562446,0.7840670859538784,0.28735879739752374,-7.096223831176758,0.0,213.9,0.47130535433116905,0.5,0.3837986151192171
ton->bot,48,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074962917,0.5,1.8,0.5555413790664449,0.5,0.5465708337946023
ton->bot,48,LightGBM,0.4837623671671072,0.5506776830743839,0.4991861055500941,0.9999705726420893,0.6792452830188679,0.28827945131534644,0.001942266381270481,0.5,28.3,0.5404341680672908,0.5,0.48376304872908366
ton->bot,48,XGBoost,0.5582651484872212,0.5688991996499154,0.44031255369175937,0.9999309245977782,0.689727463312369,0.4268028336620734,0.44155529141426086,0.5,20.2,0.4612576502224108,0.5,0.5582655574244071
ton->bot,48,MLP(16),0.4047726901791031,0.5666422327412526,0.42553660153131745,0.9986978331874095,0.35429769392033544,0.45524768643787084,0.0016874480549110243,0.5,58.4,0.4513487755730519,0.5,0.4047726901791031
ton->bot,49,"KAN(cat,1L)",0.5508961678393434,0.6097773963431179,0.5009065631597782,0.9930544688064679,0.660377358490566,0.44141497718812067,0.27644708491963743,0.0,58.4,0.457102181711893,0.5052410901467506,0.5428451234024827
