exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
ton->bot,0.0,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678
ton->bot,0.053,0.9353,0.9353,0.9353,0.9998,0.999,0.9353,0.9353
ton->bot,0.105,0.8201,0.8201,0.8201,0.8,0.8,0.8201,0.8201
ton->bot,0.158,0.8938,0.8938,0.8744,0.8,0.8,0.8938,0.8938
ton->bot,0.211,0.8173,0.8173,0.9014,0.8,0.8,0.8173,0.8173
ton->bot,0.263,0.7346,0.7346,0.8522,0.7,0.7,0.7346,0.7346
ton->bot,0.316,0.7856,0.7856,0.8864,0.7,0.7,0.7856,0.7856
ton->bot,0.368,0.7023,0.7023,0.8437,0.7,0.7,0.7023,0.7023
ton->bot,0.421,0.6976,0.6976,0.8832,0.75,0.75,0.6976,0.6976
ton->bot,0.474,0.6493,0.6493,0.8578,0.75,0.75,0.6493,0.6493
ton->bot,0.526,0.5991,0.5991,0.883,0.65,0.65,0.5991,0.5991
ton->bot,0.579,0.6412,0.6412,0.8824,0.7,0.7,0.6412,0.6412
ton->bot,0.632,0.5639,0.5639,0.8069,0.65,0.65,0.5639,0.5639
ton->bot,0.684,0.6068,0.6068,0.8855,0.55,0.5496,0.6068,0.6068
ton->bot,0.737,0.6353,0.6353,0.9608,0.5495,0.55,0.6353,0.6353
ton->bot,0.789,0.6043,0.6043,0.8898,0.5,0.5,0.6043,0.6043
ton->bot,0.842,0.6079,0.6079,0.8895,0.5,0.4997,0.6079,0.6079
ton->bot,0.895,0.555,0.555,0.9017,0.525,0.525,0.555,0.555
ton->bot,0.947,0.466,0.466,0.9534,0.5125,0.5,0.466,0.466
ton->bot,1.0,0.5314,0.5314,0.9792,0.6625,0.6125,0.5314,0.5314
ton->unsw,0.0,0.9682,0.9682,0.9682,0.9682,0.9682,0.9682,0.9682
ton->unsw,0.053,0.518,0.518,0.518,0.4858,0.4859,0.518,0.518
ton->unsw,0.105,0.53,0.53,0.7336,0.5051,0.5,0.5092,0.5092
ton->unsw,0.158,0.5415,0.5415,0.7441,0.523,0.5015,0.4952,0.4952
ton->unsw,0.211,0.5602,0.5602,0.7435,0.5238,0.5141,0.4847,0.4847
ton->unsw,0.263,0.5751,0.5728,0.7324,0.5316,0.5035,0.4732,0.4732
ton->unsw,0.316,0.5873,0.6269,0.7197,0.5448,0.5344,0.4602,0.4602
ton->unsw,0.368,0.5923,0.6472,0.702,0.5611,0.5543,0.4452,0.4452
ton->unsw,0.421,0.5974,0.673,0.693,0.5658,0.5667,0.4309,0.4309
ton->unsw,0.474,0.5846,0.6815,0.6873,0.5584,0.5561,0.4177,0.4177
ton->unsw,0.526,0.5792,0.6862,0.6965,0.5938,0.5761,0.3998,0.3998
ton->unsw,0.579,0.5705,0.6959,0.6885,0.606,0.5735,0.3852,0.3852
ton->unsw,0.632,0.5605,0.6907,0.6984,0.6037,0.5868,0.3665,0.3665
ton->unsw,0.684,0.5509,0.7014,0.7303,0.6276,0.6039,0.3499,0.3499
ton->unsw,0.737,0.5425,0.7234,0.7292,0.6461,0.6153,0.3305,0.3305
ton->unsw,0.789,0.5323,0.7274,0.7248,0.6329,0.594,0.3106,0.3106
ton->unsw,0.842,0.5188,0.7246,0.7252,0.641,0.6007,0.2897,0.2897
ton->unsw,0.895,0.5095,0.7296,0.7241,0.6745,0.6446,0.2663,0.2663
ton->unsw,0.947,0.4964,0.7331,0.7252,0.6626,0.6439,0.2444,0.2444
ton->unsw,1.0,0.484,0.7403,0.7329,0.6818,0.6477,0.218,0.218
unsw->bot,0.0,0.8121,0.8121,0.8121,0.8121,0.8121,0.8121,0.8121
unsw->bot,0.053,0.8117,0.8117,0.8117,0.8901,0.9457,0.8117,0.8117
unsw->bot,0.105,0.8243,0.8243,0.8444,0.8498,0.8187,0.8243,0.8243
unsw->bot,0.158,0.8184,0.8184,0.8127,0.85,0.8499,0.8184,0.8184
unsw->bot,0.211,0.7664,0.7664,0.8052,0.75,0.75,0.7664,0.7664
unsw->bot,0.263,0.7446,0.7446,0.8603,0.9,0.9,0.7446,0.7446
unsw->bot,0.316,0.7953,0.7953,0.8719,0.8,0.8,0.7953,0.7953
unsw->bot,0.368,0.7904,0.7904,0.8729,0.75,0.75,0.7904,0.7904
unsw->bot,0.421,0.8199,0.8322,0.9111,0.6,0.6,0.8199,0.8199
unsw->bot,0.474,0.8011,0.7885,0.958,0.75,0.75,0.8011,0.8011
unsw->bot,0.526,0.6982,0.6944,0.7476,0.5667,0.55,0.6982,0.6982
unsw->bot,0.579,0.808,0.8211,0.8771,0.6,0.6,0.808,0.808
unsw->bot,0.632,0.7257,0.7397,0.8646,0.575,0.55,0.7257,0.7257
unsw->bot,0.684,0.7605,0.7248,0.839,0.7999,0.75,0.7605,0.7605
unsw->bot,0.737,0.7657,0.7805,0.9591,0.55,0.575,0.7657,0.7657
unsw->bot,0.789,0.6958,0.7108,0.8294,0.6,0.625,0.6958,0.6958
unsw->bot,0.842,0.6857,0.7007,0.8559,0.65,0.65,0.6857,0.6857
unsw->bot,0.895,0.6942,0.7252,0.8717,0.725,0.7,0.6942,0.6942
unsw->bot,0.947,0.7363,0.7272,0.7787,0.55,0.55,0.7363,0.7363
unsw->bot,1.0,0.7478,0.7474,0.9118,0.575,0.55,0.7478,0.7478
unsw->ton,0.0,0.8104,0.8104,0.8104,0.8104,0.8104,0.8104,0.8104
unsw->ton,0.053,0.6375,0.6375,0.6375,0.5071,0.5072,0.6375,0.6375
unsw->ton,0.105,0.6502,0.6487,0.8132,0.5302,0.5214,0.6186,0.6186
unsw->ton,0.158,0.6467,0.6412,0.8204,0.554,0.5154,0.6052,0.6052
unsw->ton,0.211,0.6915,0.6874,0.8095,0.5483,0.5497,0.593,0.593
unsw->ton,0.263,0.6843,0.6953,0.7918,0.5671,0.5387,0.572,0.572
unsw->ton,0.316,0.6916,0.708,0.7982,0.5623,0.573,0.5539,0.5539
unsw->ton,0.368,0.7092,0.7114,0.8059,0.5975,0.5832,0.5425,0.5425
unsw->ton,0.421,0.6965,0.7094,0.7976,0.5941,0.5882,0.5268,0.5268
unsw->ton,0.474,0.7124,0.7278,0.7844,0.5861,0.5758,0.5069,0.5069
unsw->ton,0.526,0.7558,0.7556,0.8076,0.5745,0.5972,0.4874,0.4874
unsw->ton,0.579,0.7524,0.7585,0.8001,0.5905,0.5651,0.472,0.472
unsw->ton,0.632,0.7639,0.7743,0.7944,0.5845,0.5887,0.4527,0.4527
unsw->ton,0.684,0.7556,0.7636,0.7988,0.5912,0.5788,0.4325,0.4325
unsw->ton,0.737,0.7721,0.7794,0.7895,0.6097,0.5963,0.4118,0.4118
unsw->ton,0.789,0.7679,0.7671,0.7949,0.6016,0.5922,0.3922,0.3922
unsw->ton,0.842,0.7919,0.7876,0.7839,0.6068,0.6067,0.3697,0.3697
unsw->ton,0.895,0.7952,0.8012,0.8291,0.6268,0.6215,0.3453,0.3453
unsw->ton,0.947,0.833,0.8328,0.8454,0.6142,0.6358,0.3237,0.3237
unsw->ton,1.0,0.825,0.8331,0.8547,0.6457,0.6678,0.2991,0.2991
