exp,seed,metodo,bal_acc,frazione_positivi,etichette,nota
bot->unsw,43,8 etichette,0.5978727848328154,0.7522363615900773,8,
bot->unsw,43,IM seleziona + 8 etichette,0.5978727848328154,0.7522363615900773,8,
bot->unsw,43,IM come prior + 8 etichette,0.4200210989991308,0.5355702770565794,8,
bot->unsw,43,32 etichette,0.7309727281613629,0.6764232185754814,32,
bot->unsw,43,IM seleziona + 32 etichette,0.7309727281613629,0.6764232185754814,32,
bot->unsw,43,IM come prior + 32 etichette,0.4200210989991308,0.5355702770565794,32,
bot->unsw,44,non adattato,0.4592590240913419,0.08137833610816811,0,
bot->unsw,44,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.6391
bot->unsw,44,TENT,0.5,0.0,0,
bot->unsw,44,TENT filtrato,0.5,0.0,0,
bot->unsw,44,IM (SHOT),0.4231769500964081,0.5060017929701599,0,
bot->unsw,44,8 etichette,0.5264745217452457,0.7613331625742705,8,
bot->unsw,44,IM come prior + 8 etichette,0.4231769500964081,0.5060017929701599,8,
bot->unsw,44,32 etichette,0.7588684611124725,0.457347102723219,32,
bot->unsw,44,IM seleziona + 32 etichette,0.7588684611124725,0.457347102723219,32,
bot->unsw,44,IM come prior + 32 etichette,0.4231199563044101,0.5059396987654896,32,
unsw->bot,42,non adattato,0.6893996331236898,0.5833487133187348,0,
unsw->bot,42,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.9976
unsw->bot,42,TENT,0.6772860482180294,0.7667263576370357,0,
unsw->bot,42,TENT filtrato,0.4472500314465409,0.07714101867047092,0,
unsw->bot,42,IM (SHOT),0.6957039727463312,0.7657387131690917,0,
unsw->bot,42,8 etichette,0.5,0.0,8,una sola classe
unsw->bot,42,IM seleziona + 8 etichette,0.7831685482180293,0.9779874998129461,8,
unsw->bot,42,32 etichette,0.5,0.0,32,una sola classe
unsw->bot,42,IM seleziona + 32 etichette,0.8469923480083857,0.9774487846486131,32,
unsw->bot,43,non adattato,0.7012460429769392,0.6174673403931623,0,
unsw->bot,43,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.9976
unsw->bot,43,TENT,0.6790449842767295,0.7660429874748724,0,
unsw->bot,43,TENT filtrato,0.5,0.0,0,
unsw->bot,43,IM (SHOT),0.7163958333333333,0.7650952478339161,0,
unsw->bot,43,8 etichette,0.5,0.0,8,una sola classe
unsw->bot,43,IM seleziona + 8 etichette,0.8406570283018868,0.9438439322216514,8,
unsw->bot,43,32 etichette,0.5,0.0,32,una sola classe
unsw->bot,43,IM seleziona + 32 etichette,0.8093858333333332,0.9506327409129227,32,
unsw->bot,44,non adattato,0.7452321331236897,0.6947480259580899,0,
unsw->bot,44,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.9976
unsw->bot,44,TENT,0.6947739727463312,0.7638831387141667,0,
unsw->bot,44,TENT filtrato,0.49895678197064985,1.4964310120362934e-05,0,
unsw->bot,44,IM (SHOT),0.6947739727463312,0.7638831387141667,0,
unsw->bot,44,8 etichette,0.5,0.0,8,una sola classe
unsw->bot,44,IM seleziona + 8 etichette,0.7503041352201258,0.9836938900721779,8,
unsw->bot,44,32 etichette,0.5,0.0,32,una sola classe
unsw->bot,44,IM seleziona + 32 etichette,0.8439376939203355,0.9776433206801778,32,
