exp,ratio,seed,batch,politica,bal_acc,norma_guadagni,bias,n_min,saltati
bot->ton,50.0,42,14,rls_guardia,0.7777484469799245,4.905335340966132,1.4776605057882806,11.0,3.0
bot->ton,50.0,42,14,rls_prossimale,0.6951102013605234,5.748889687412313,1.1489897683928387,8.0,0.0
bot->ton,50.0,42,14,rls_guardia_prossimale,0.7830431098006406,4.376779995149158,2.051859056154129,13.0,3.0
bot->ton,50.0,42,15,statico,0.8209067996581152,3.4641016151377544,0.0,,
bot->ton,50.0,42,15,rls,0.7411502242239655,3.8944711692693046,1.7550824235576934,6.0,0.0
bot->ton,50.0,42,15,rls_guardia,0.7901240551343469,5.086420431979284,1.5940129236486449,6.0,3.0
bot->ton,50.0,42,15,rls_prossimale,0.812154660771453,5.820226726304221,1.0951812797085094,6.0,0.0
bot->ton,50.0,42,15,rls_guardia_prossimale,0.7809953293342639,4.814355384571567,1.5229036173235997,6.0,3.0
bot->ton,50.0,42,16,statico,0.8108681179724999,3.4641016151377544,0.0,,
bot->ton,50.0,42,16,rls,0.7339373989954591,3.506628877176741,1.824261618241401,10.0,0.0
bot->ton,50.0,42,16,rls_guardia,0.7827635126817216,4.867494468903029,1.5293118775319263,10.0,3.0
bot->ton,50.0,42,16,rls_prossimale,0.8061785579428237,5.483092849141067,1.1303542320480495,10.0,0.0
bot->ton,50.0,42,16,rls_guardia_prossimale,0.7770598341362995,4.642264698054168,1.5498608899127682,10.0,3.0
bot->ton,50.0,42,17,statico,0.7984626681617649,3.4641016151377544,0.0,,
bot->ton,50.0,42,17,rls,0.739469625175728,26.06535619371474,1.5318738386392283,6.0,0.0
bot->ton,50.0,42,17,rls_guardia,0.7405642769620466,31.103695267016708,1.3101678722931025,6.0,3.0
bot->ton,50.0,42,17,rls_prossimale,0.8212550069604476,46.20832343115728,1.2608579339040735,6.0,0.0
bot->ton,50.0,42,17,rls_guardia_prossimale,0.7509807903419008,45.484533908194834,1.3804158044024144,6.0,3.0
bot->ton,50.0,42,18,statico,0.7806782452770542,3.4641016151377544,0.0,,
bot->ton,50.0,42,18,rls,0.7282031941483817,4.729105104337315,1.3267819619683685,9.0,0.0
bot->ton,50.0,42,18,rls_guardia,0.7669769051387897,7.636392741516504,1.2434179456320569,9.0,3.0
bot->ton,50.0,42,18,rls_prossimale,0.8003663286865367,8.918423779290011,1.3974995075086485,9.0,0.0
bot->ton,50.0,42,18,rls_guardia_prossimale,0.8439376535604284,9.06617376802648,1.4281815188807467,9.0,3.0
bot->ton,50.0,42,19,statico,0.7730422649277531,3.4641016151377544,0.0,,
bot->ton,50.0,42,19,rls,0.7246945971914764,3.994195824106584,1.0142453415103538,6.0,0.0
bot->ton,50.0,42,19,rls_guardia,0.7818679677362588,5.995360679584291,1.0949727830859195,6.0,3.0
bot->ton,50.0,42,19,rls_prossimale,0.8109651709081227,6.127266269783132,1.1313658711555707,6.0,0.0
bot->ton,50.0,42,19,rls_guardia_prossimale,0.8476797343068208,6.65232930880144,1.1590702310441785,6.0,3.0
bot->ton,50.0,43,0,statico,0.98655,3.4641016151377544,0.0,,
bot->ton,50.0,43,0,rls,0.98655,3.4641016151377544,0.0,0.0,0.0
bot->ton,50.0,43,0,rls_guardia,0.98655,3.4641016151377544,0.0,0.0,1.0
bot->ton,50.0,43,0,rls_prossimale,0.98655,3.4641016151377544,0.0,0.0,0.0
bot->ton,50.0,43,0,rls_guardia_prossimale,0.98655,3.4641016151377544,0.0,0.0,1.0
bot->ton,50.0,43,1,statico,0.959133189734482,3.4641016151377544,0.0,,
bot->ton,50.0,43,1,rls,0.5,1.8867426374179248,2.5694551022277694,15.0,0.0
bot->ton,50.0,43,1,rls_guardia,0.959133189734482,3.4641016151377544,0.0,0.0,2.0
bot->ton,50.0,43,1,rls_prossimale,0.657376464652175,3.044305984595588,2.0650295629730127,8.0,0.0
bot->ton,50.0,43,1,rls_guardia_prossimale,0.959133189734482,3.4641016151377544,0.0,0.0,2.0
bot->ton,50.0,43,2,statico,0.9554884139068264,3.4641016151377544,0.0,,
bot->ton,50.0,43,2,rls,0.6419627650863114,3.720167438015712,2.3729801913955804,9.0,0.0
bot->ton,50.0,43,2,rls_guardia,0.9554884139068264,3.4641016151377544,0.0,0.0,3.0
bot->ton,50.0,43,2,rls_prossimale,0.6912919616756062,4.489333730925268,3.23460884173222,5.0,0.0
bot->ton,50.0,43,2,rls_guardia_prossimale,0.9554884139068264,3.4641016151377544,0.0,0.0,3.0
bot->ton,50.0,43,3,statico,0.931053735467542,3.4641016151377544,0.0,,
bot->ton,50.0,43,3,rls,0.8149831641141847,5.213983006065627,2.056248048211733,3.0,0.0
bot->ton,50.0,43,3,rls_guardia,0.931053735467542,3.4641016151377544,0.0,3.0,3.0
bot->ton,50.0,43,3,rls_prossimale,0.7142317863588891,5.974791533177795,4.373901782952516,3.0,0.0
bot->ton,50.0,43,3,rls_guardia_prossimale,0.931053735467542,3.4641016151377544,0.0,3.0,3.0
bot->ton,50.0,43,4,statico,0.9177303494957868,3.4641016151377544,0.0,,
bot->ton,50.0,43,4,rls,0.7955946953999171,5.4199384522103085,1.5850407443449896,1.0,0.0
bot->ton,50.0,43,4,rls_guardia,0.893630335681724,3.003621280381214,1.0057242219526652,2.0,3.0
bot->ton,50.0,43,4,rls_prossimale,0.7255422019615969,5.299636840552043,2.99341438986732,4.0,0.0
bot->ton,50.0,43,4,rls_guardia_prossimale,0.8946871114794861,3.6488881350334976,0.9496941207049252,5.0,3.0
bot->ton,50.0,43,5,statico,0.9011821652108124,3.4641016151377544,0.0,,
bot->ton,50.0,43,5,rls,0.7932603686635945,5.373412312292679,2.2317510393722366,7.0,0.0
bot->ton,50.0,43,5,rls_guardia,0.8924341426508013,4.353972156685666,2.4954977051324985,10.0,3.0
bot->ton,50.0,43,5,rls_prossimale,0.6857650113487861,6.586224293663832,3.104432772452522,15.0,0.0
bot->ton,50.0,43,5,rls_guardia_prossimale,0.8912777701354976,4.992385256099165,1.7778763021730828,1.0,3.0
bot->ton,50.0,43,6,statico,0.8808385988518742,3.4641016151377544,0.0,,
bot->ton,50.0,43,6,rls,0.7844807655405046,5.188763929009398,2.996536991253998,2.0,0.0
bot->ton,50.0,43,6,rls_guardia,0.8829492857159371,5.209823694647267,2.770655875399115,2.0,3.0
bot->ton,50.0,43,6,rls_prossimale,0.7139281635304753,8.731683947737775,3.3453448868343547,2.0,0.0
bot->ton,50.0,43,6,rls_guardia_prossimale,0.8309398632699159,6.26533684825236,2.684549489023735,2.0,3.0
bot->ton,50.0,43,7,statico,0.8644734631666755,3.4641016151377544,0.0,,
bot->ton,50.0,43,7,rls,0.7781692230932473,5.401350806000879,2.98816809282874,2.0,0.0
bot->ton,50.0,43,7,rls_guardia,0.8848373609092761,6.138649235092268,2.8189535677671227,2.0,3.0
bot->ton,50.0,43,7,rls_prossimale,0.820841733524776,9.665712708364907,3.109851244488388,2.0,0.0
bot->ton,50.0,43,7,rls_guardia_prossimale,0.8309884107289386,8.2844356029874,2.964360944028524,2.0,3.0
bot->ton,50.0,43,8,statico,0.8463350690341811,3.4641016151377544,0.0,,
bot->ton,50.0,43,8,rls,0.7822177027492698,5.349739830552604,3.0634156536137342,4.0,0.0
bot->ton,50.0,43,8,rls_guardia,0.8850230282380894,5.305305931060964,2.9771156486312944,4.0,3.0
bot->ton,50.0,43,8,rls_prossimale,0.7127781322961498,9.256344329215928,3.328828595174398,4.0,0.0
bot->ton,50.0,43,8,rls_guardia_prossimale,0.8405731852669143,7.167177363121337,3.4450357992271257,4.0,3.0
bot->ton,50.0,43,9,statico,0.8272999895621891,3.4641016151377544,0.0,,
bot->ton,50.0,43,9,rls,0.7795914180259498,5.23900656389028,3.159620508372228,5.0,0.0
bot->ton,50.0,43,9,rls_guardia,0.8772980505419337,5.6183117106442335,3.1704797971868097,5.0,3.0
bot->ton,50.0,43,9,rls_prossimale,0.713845222717661,8.62139025163273,3.3735732482044365,5.0,0.0
bot->ton,50.0,43,9,rls_guardia_prossimale,0.8308878748826494,7.614957838428666,3.5819042781015544,5.0,3.0
bot->ton,50.0,43,10,statico,0.8117679783533411,3.4641016151377544,0.0,,
bot->ton,50.0,43,10,rls,0.7750884012068653,4.872659727106364,2.895379721095565,7.0,0.0
bot->ton,50.0,43,10,rls_guardia,0.8822163945917108,4.882981999393593,2.80726487980628,7.0,3.0
bot->ton,50.0,43,10,rls_prossimale,0.7143542203075947,8.402989252800857,3.312459877305301,7.0,0.0
bot->ton,50.0,43,10,rls_guardia_prossimale,0.8292677321523105,6.830845828298451,3.087496466021743,7.0,3.0
bot->ton,50.0,43,11,statico,0.7917408881864059,3.4641016151377544,0.0,,
bot->ton,50.0,43,11,rls,0.7791487738599612,4.98516192495648,2.530240009010647,2.0,0.0
bot->ton,50.0,43,11,rls_guardia,0.8826757144204169,5.084201535136386,2.544194258967207,2.0,3.0
bot->ton,50.0,43,11,rls_prossimale,0.722042339694569,8.50518223017046,2.918902187819456,2.0,0.0
bot->ton,50.0,43,11,rls_guardia_prossimale,0.8313369036374805,7.234304324714984,2.71792300580639,2.0,3.0
bot->ton,50.0,43,12,statico,0.772293449480868,3.4641016151377544,0.0,,
bot->ton,50.0,43,12,rls,0.7802291696111469,5.187829639891262,2.6054720757924232,3.0,0.0
bot->ton,50.0,43,12,rls_guardia,0.8825267964671879,5.352804771944475,2.652613317674138,3.0,3.0
bot->ton,50.0,43,12,rls_prossimale,0.8292282448223895,9.000053445895439,2.9745428954107465,3.0,0.0
bot->ton,50.0,43,12,rls_guardia_prossimale,0.8265417428836549,8.021288286780097,2.812347314595005,3.0,3.0
bot->ton,50.0,43,13,statico,0.7529506674813384,3.4641016151377544,0.0,,
bot->ton,50.0,43,13,rls,0.773102409214343,5.24430147541803,2.723793184011752,0.0,0.0
bot->ton,50.0,43,13,rls_guardia,0.8798347327020721,5.327002641619117,2.7483253460750534,4.0,3.0
bot->ton,50.0,43,13,rls_prossimale,0.7224825537726037,8.623036425848277,3.147225845277045,10.0,0.0
bot->ton,50.0,43,13,rls_guardia_prossimale,0.8303333542766144,7.473903763162727,2.807631322387821,13.0,3.0
bot->ton,50.0,43,14,statico,0.7284922991772307,3.4641016151377544,0.0,,
bot->ton,50.0,43,14,rls,0.7726846973422317,6.200628124570117,2.7699154013776703,6.0,0.0
bot->ton,50.0,43,14,rls_guardia,0.8770923140786154,5.559585520270432,2.5391837630542504,6.0,3.0
bot->ton,50.0,43,14,rls_prossimale,0.7271392534406234,7.877793538392708,2.965893676034624,6.0,0.0
bot->ton,50.0,43,14,rls_guardia_prossimale,0.840323998680163,8.228412813827914,2.607413127461031,6.0,3.0
bot->ton,50.0,43,15,statico,0.7066153885085672,3.4641016151377544,0.0,,
bot->ton,50.0,43,15,rls,0.7674518258052933,5.0075683167430505,2.3418832374099443,11.0,0.0
bot->ton,50.0,43,15,rls_guardia,0.8783294149686751,4.1844523216000535,2.231614037286465,6.0,3.0
bot->ton,50.0,43,15,rls_prossimale,0.7338704565748392,6.294985373222708,2.4396909663805526,0.0,0.0
bot->ton,50.0,43,15,rls_guardia_prossimale,0.8309864518173701,6.81158899431342,2.100367678170008,8.0,3.0
bot->ton,50.0,43,16,statico,0.6851313688576602,3.4641016151377544,0.0,,
bot->ton,50.0,43,16,rls,0.8629707176172996,5.17769175802213,2.37351071121876,7.0,0.0
bot->ton,50.0,43,16,rls_guardia,0.8660214524565621,4.744515470306359,1.953271266835361,7.0,3.0
bot->ton,50.0,43,16,rls_prossimale,0.7948288981649901,5.074777930943403,1.6685063753451017,7.0,0.0
bot->ton,50.0,43,16,rls_guardia_prossimale,0.907023045276359,10.251184972118129,1.522276284482116,7.0,3.0
bot->ton,50.0,43,17,statico,0.6623311927261476,3.4641016151377544,0.0,,
bot->ton,50.0,43,17,rls,0.7708899606374803,4.905914337596264,2.42953513042069,7.0,0.0
bot->ton,50.0,43,17,rls_guardia,0.8749616891912585,4.767250625485296,1.905762426859676,7.0,3.0
bot->ton,50.0,43,17,rls_prossimale,0.7281940115079482,5.012971357223807,1.7801970806522376,7.0,0.0
bot->ton,50.0,43,17,rls_guardia_prossimale,0.872471321498446,6.934808235123326,1.6456614671243175,7.0,3.0
