exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette
ton->bot,45,martingala_int,12,0.632,0.7455664068517802,10,320
ton->bot,45,statico,13,0.684,0.7475494233615988,0,0
ton->bot,45,ogni_batch_int,13,0.684,0.872361014331927,13,416
ton->bot,45,martingala_int,13,0.684,0.8040166542018388,11,352
ton->bot,45,statico,14,0.737,0.7322179165286796,0,0
ton->bot,45,ogni_batch_int,14,0.737,0.8783422896296458,14,448
ton->bot,45,martingala_int,14,0.737,0.7994255057856241,12,384
ton->bot,45,statico,15,0.789,0.7160716463875221,0,0
ton->bot,45,ogni_batch_int,15,0.789,0.8737716704365504,15,480
ton->bot,45,martingala_int,15,0.789,0.7918099923206172,13,416
ton->bot,45,statico,16,0.842,0.7158822446804812,0,0
ton->bot,45,ogni_batch_int,16,0.842,0.822812556355349,16,512
ton->bot,45,martingala_int,16,0.842,0.8097054649410339,14,448
ton->bot,45,statico,17,0.895,0.6845876198538748,0,0
ton->bot,45,ogni_batch_int,17,0.895,0.8280902055689493,17,544
ton->bot,45,martingala_int,17,0.895,0.7990438528688248,15,480
ton->bot,45,statico,18,0.947,0.6822193880091211,0,0
ton->bot,45,ogni_batch_int,18,0.947,0.8342931302878727,18,576
ton->bot,45,martingala_int,18,0.947,0.8317630833878232,16,512
ton->bot,45,statico,19,1.0,0.5252063015753938,0,0
ton->bot,45,ogni_batch_int,19,1.0,0.8974243560890223,19,608
ton->bot,45,martingala_int,19,1.0,0.897949487371843,17,544
ton->bot,46,statico,0,0.0,0.9458445266049462,0,0
ton->bot,46,ogni_batch_int,0,0.0,0.9458445266049462,0,0
ton->bot,46,martingala_int,0,0.0,0.9458445266049462,0,0
ton->bot,46,statico,1,0.053,0.9223757284727379,0,0
ton->bot,46,ogni_batch_int,1,0.053,0.9528980239650825,1,32
ton->bot,46,martingala_int,1,0.053,0.9223757284727379,0,0
ton->bot,46,statico,2,0.105,0.9092176976765027,0,0
ton->bot,46,ogni_batch_int,2,0.105,0.9323014097899447,2,64
ton->bot,46,martingala_int,2,0.105,0.9092176976765027,0,0
ton->bot,46,statico,3,0.158,0.8945538493447609,0,0
ton->bot,46,ogni_batch_int,3,0.158,0.9191628609943853,3,96
ton->bot,46,martingala_int,3,0.158,0.8945538493447609,0,0
ton->bot,46,statico,4,0.211,0.8799025374193207,0,0
ton->bot,46,ogni_batch_int,4,0.211,0.907969926457542,4,128
ton->bot,46,martingala_int,4,0.211,0.8799025374193207,0,0
ton->bot,46,statico,5,0.263,0.8579965583907367,0,0
ton->bot,46,ogni_batch_int,5,0.263,0.9060308500878543,5,160
ton->bot,46,martingala_int,5,0.263,0.8579965583907367,0,0
ton->bot,46,statico,6,0.316,0.844259128109927,0,0
ton->bot,46,ogni_batch_int,6,0.316,0.900701222110008,6,192
ton->bot,46,martingala_int,6,0.316,0.844259128109927,0,0
ton->bot,46,statico,7,0.368,0.8346109849189453,0,0
ton->bot,46,ogni_batch_int,7,0.368,0.8918220108036381,7,224
ton->bot,46,martingala_int,7,0.368,0.8346109849189453,0,0
ton->bot,46,statico,8,0.421,0.8194900176422248,0,0
ton->bot,46,ogni_batch_int,8,0.421,0.9007762969959259,8,256
ton->bot,46,martingala_int,8,0.421,0.8194900176422248,0,0
ton->bot,46,statico,9,0.474,0.8026748857725821,0,0
ton->bot,46,ogni_batch_int,9,0.474,0.9058111155770552,9,288
ton->bot,46,martingala_int,9,0.474,0.8026748857725821,0,0
ton->bot,46,statico,10,0.526,0.7890202184822221,0,0
ton->bot,46,ogni_batch_int,10,0.526,0.9376816744094729,10,320
ton->bot,46,martingala_int,10,0.526,0.7890202184822221,0,0
ton->bot,46,statico,11,0.579,0.7768979001736975,0,0
ton->bot,46,ogni_batch_int,11,0.579,0.9370067825715083,11,352
ton->bot,46,martingala_int,11,0.579,0.7768979001736975,0,0
ton->bot,46,statico,12,0.632,0.7686621120074288,0,0
ton->bot,46,ogni_batch_int,12,0.632,0.9422352179248583,12,384
ton->bot,46,martingala_int,12,0.632,0.7686621120074288,0,0
ton->bot,46,statico,13,0.684,0.7507186026676305,0,0
ton->bot,46,ogni_batch_int,13,0.684,0.9366874611825287,13,416
ton->bot,46,martingala_int,13,0.684,0.7507186026676305,0,0
ton->bot,46,statico,14,0.737,0.740095112298746,0,0
ton->bot,46,ogni_batch_int,14,0.737,0.9493071126993722,14,448
ton->bot,46,martingala_int,14,0.737,0.740095112298746,0,0
ton->bot,46,statico,15,0.789,0.7308162657572682,0,0
ton->bot,46,ogni_batch_int,15,0.789,0.890129784368892,15,480
ton->bot,46,martingala_int,15,0.789,0.7308162657572682,0,0
ton->bot,46,statico,16,0.842,0.7175694232611983,0,0
ton->bot,46,ogni_batch_int,16,0.842,0.8770838026582564,16,512
ton->bot,46,martingala_int,16,0.842,0.7175694232611983,0,0
ton->bot,46,statico,17,0.895,0.7096030750593267,0,0
ton->bot,46,ogni_batch_int,17,0.895,0.8893279705682213,17,544
ton->bot,46,martingala_int,17,0.895,0.7096030750593267,0,0
ton->bot,46,statico,18,0.947,0.7119843070848519,0,0
ton->bot,46,ogni_batch_int,18,0.947,0.9706122756376848,18,576
ton->bot,46,martingala_int,18,0.947,0.7119843070848519,0,0
ton->bot,46,statico,19,1.0,0.3874247803837242,0,0
ton->bot,46,ogni_batch_int,19,1.0,0.6652164491340368,19,608
ton->bot,46,martingala_int,19,1.0,0.3874247803837242,0,0
ton->bot,47,statico,0,0.0,0.8260586002889051,0,0
ton->bot,47,ogni_batch_int,0,0.0,0.8260586002889051,0,0
ton->bot,47,martingala_int,0,0.0,0.8260586002889051,0,0
ton->bot,47,statico,1,0.053,0.8093835909267819,0,0
ton->bot,47,ogni_batch_int,1,0.053,0.8778633026989139,1,32
ton->bot,47,martingala_int,1,0.053,0.8093835909267819,0,0
ton->bot,47,statico,2,0.105,0.7920040236387873,0,0
ton->bot,47,ogni_batch_int,2,0.105,0.8523188293392926,2,64
ton->bot,47,martingala_int,2,0.105,0.7920040236387873,0,0
ton->bot,47,statico,3,0.158,0.7746323743894743,0,0
ton->bot,47,ogni_batch_int,3,0.158,0.8543120197832588,3,96
ton->bot,47,martingala_int,3,0.158,0.7746323743894743,0,0
ton->bot,47,statico,4,0.211,0.7516033598478349,0,0
ton->bot,47,ogni_batch_int,4,0.211,0.8500751648874421,4,128
ton->bot,47,martingala_int,4,0.211,0.7516033598478349,0,0
ton->bot,47,statico,5,0.263,0.7356598626580968,0,0
ton->bot,47,ogni_batch_int,5,0.263,0.8915737022461627,5,160
ton->bot,47,martingala_int,5,0.263,0.6044460925366113,1,32
ton->bot,47,statico,6,0.316,0.722932128115167,0,0
ton->bot,47,ogni_batch_int,6,0.316,0.809703187191891,6,192
ton->bot,47,martingala_int,6,0.316,0.7518959507125522,2,64
ton->bot,47,statico,7,0.368,0.710744173740204,0,0
ton->bot,47,ogni_batch_int,7,0.368,0.7951679044353797,7,224
ton->bot,47,martingala_int,7,0.368,0.7474693959042131,3,96
ton->bot,47,statico,8,0.421,0.6898007069243075,0,0
ton->bot,47,ogni_batch_int,8,0.421,0.7709980647848705,8,256
ton->bot,47,martingala_int,8,0.421,0.8889317599577051,4,128
ton->bot,47,statico,9,0.474,0.6892662629494211,0,0
ton->bot,47,ogni_batch_int,9,0.474,0.7289015258050907,9,288
ton->bot,47,martingala_int,9,0.474,0.9064327421131579,5,160
ton->bot,47,statico,10,0.526,0.6656301371223672,0,0
ton->bot,47,ogni_batch_int,10,0.526,0.8221240599014334,10,320
ton->bot,47,martingala_int,10,0.526,0.8975503634578741,6,192
ton->bot,47,statico,11,0.579,0.648171764774796,0,0
ton->bot,47,ogni_batch_int,11,0.579,0.8270822208416271,11,352
ton->bot,47,martingala_int,11,0.579,0.8533075626427151,7,224
ton->bot,47,statico,12,0.632,0.6472022698029124,0,0
ton->bot,47,ogni_batch_int,12,0.632,0.8516527272156666,12,384
ton->bot,47,martingala_int,12,0.632,0.8584639012678885,8,256
ton->bot,47,statico,13,0.684,0.6365155319324209,0,0
ton->bot,47,ogni_batch_int,13,0.684,0.9060044985834477,13,416
ton->bot,47,martingala_int,13,0.684,0.9059570413934148,9,288
ton->bot,47,statico,14,0.737,0.6168873981722522,0,0
ton->bot,47,ogni_batch_int,14,0.737,0.908373034373175,14,448
ton->bot,47,martingala_int,14,0.737,0.8958740513335697,10,320
ton->bot,47,statico,15,0.789,0.609591555362964,0,0
ton->bot,47,ogni_batch_int,15,0.789,0.9104985842608553,15,480
ton->bot,47,martingala_int,15,0.789,0.9008140366733085,11,352
ton->bot,47,statico,16,0.842,0.5996185459435858,0,0
ton->bot,47,ogni_batch_int,16,0.842,0.902694202726721,16,512
ton->bot,47,martingala_int,16,0.842,0.8155523450805131,12,384
ton->bot,47,statico,17,0.895,0.5946625508137877,0,0
ton->bot,47,ogni_batch_int,17,0.895,0.9031510744610581,17,544
ton->bot,47,martingala_int,17,0.895,0.8030978264504329,13,416
ton->bot,47,statico,18,0.947,0.5830566455991553,0,0
ton->bot,47,ogni_batch_int,18,0.947,0.9008804190484789,18,576
ton->bot,47,martingala_int,18,0.947,0.7885065653734374,14,448
ton->bot,47,statico,19,1.0,0.3865246453634712,0,0
ton->bot,47,ogni_batch_int,19,1.0,0.6644413328665967,19,608
ton->bot,47,martingala_int,19,1.0,0.6644413328665967,15,480
ton->bot,48,statico,0,0.0,0.9141300674639234,0,0
ton->bot,48,ogni_batch_int,0,0.0,0.9141300674639234,0,0
ton->bot,48,martingala_int,0,0.0,0.9141300674639234,0,0
ton->bot,48,statico,1,0.053,0.8979533289751349,0,0
ton->bot,48,ogni_batch_int,1,0.053,0.8697783357513915,1,32
ton->bot,48,martingala_int,1,0.053,0.8979533289751349,0,0
ton->bot,48,statico,2,0.105,0.8859983044419534,0,0
ton->bot,48,ogni_batch_int,2,0.105,0.8563898407693864,2,64
ton->bot,48,martingala_int,2,0.105,0.8859983044419534,0,0
ton->bot,48,statico,3,0.158,0.8630887299937393,0,0
ton->bot,48,ogni_batch_int,3,0.158,0.8772868220537414,3,96
ton->bot,48,martingala_int,3,0.158,0.8630887299937393,0,0
ton->bot,48,statico,4,0.211,0.8501273683939541,0,0
ton->bot,48,ogni_batch_int,4,0.211,0.8408372585174217,4,128
ton->bot,48,martingala_int,4,0.211,0.8501273683939541,0,0
ton->bot,48,statico,5,0.263,0.834451519632659,0,0
ton->bot,48,ogni_batch_int,5,0.263,0.8357877841649367,5,160
ton->bot,48,martingala_int,5,0.263,0.834451519632659,0,0
ton->bot,48,statico,6,0.316,0.8152003737204262,0,0
ton->bot,48,ogni_batch_int,6,0.316,0.880343943583223,6,192
ton->bot,48,martingala_int,6,0.316,0.8152003737204262,0,0
ton->bot,48,statico,7,0.368,0.8045478809540294,0,0
ton->bot,48,ogni_batch_int,7,0.368,0.9457823912307075,7,224
ton->bot,48,martingala_int,7,0.368,0.8045478809540294,0,0
