exp,seed,regola,budget,normali_selezionate,q_conformal,bal_partenza,bal_acc,esito
ton->bot,44,misto,8,4,0.35774724674915537,0.5531291889181292,0.8933126004278704,ok
ton->bot,44,adattiva,8,4,0.35774724674915537,0.5531291889181292,0.8976573281816997,ok
ton->bot,44,bilanciato,8,4,0.35774724674915537,0.5531291889181292,0.9168335330573392,ok
ton->bot,44,casuale,32,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,margine,32,16,0.35774724674915537,0.5531291889181292,0.9238302705423899,ok
ton->bot,44,strat_z,32,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal,32,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal_top,32,16,0.35774724674915537,0.5531291889181292,0.9238302705423899,ok
ton->bot,44,misto,32,16,0.35774724674915537,0.5531291889181292,0.8898040041504934,ok
ton->bot,44,adattiva,32,16,0.35774724674915537,0.5531291889181292,0.895235595414717,ok
ton->bot,44,bilanciato,32,16,0.35774724674915537,0.5531291889181292,0.9089287870064877,ok
ton->bot,44,casuale,128,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,margine,128,20,0.35774724674915537,0.5531291889181292,0.6414308669551377,ok
ton->bot,44,strat_z,128,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal,128,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal_top,128,20,0.35774724674915537,0.5531291889181292,0.6414308669551377,ok
ton->bot,44,misto,128,16,0.35774724674915537,0.5531291889181292,0.893067653576938,ok
ton->bot,44,adattiva,128,20,0.35774724674915537,0.5531291889181292,0.9161033594896205,ok
ton->bot,44,bilanciato,128,64,0.35774724674915537,0.5531291889181292,0.9304189297644849,ok
ton->bot,44,casuale,512,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,margine,512,20,0.35774724674915537,0.5531291889181292,0.6446799262595517,ok
ton->bot,44,strat_z,512,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal,512,0,0.35774724674915537,0.5531291889181292,,fallita: una sola classe
ton->bot,44,conformal_top,512,20,0.35774724674915537,0.5531291889181292,0.6446799262595517,ok
ton->bot,44,misto,512,20,0.35774724674915537,0.5531291889181292,0.7538111896823776,ok
ton->bot,44,adattiva,512,20,0.35774724674915537,0.5531291889181292,0.8286804410561379,ok
ton->bot,44,bilanciato,512,256,0.35774724674915537,0.5531291889181292,0.9621150557187307,ok
bot->ton,42,casuale,8,1,0.07708550903094413,0.7691993874927814,0.49368923957877553,ok
bot->ton,42,margine,8,1,0.07708550903094413,0.7691993874927814,0.5717392299980926,ok
bot->ton,42,strat_z,8,1,0.07708550903094413,0.7691993874927814,0.6216724119002611,ok
bot->ton,42,conformal,8,1,0.07708550903094413,0.7691993874927814,0.7782836416931027,ok
bot->ton,42,conformal_top,8,1,0.07708550903094413,0.7691993874927814,0.5717392299980926,ok
bot->ton,42,misto,8,1,0.07708550903094413,0.7691993874927814,0.7513440460443377,ok
bot->ton,42,adattiva,8,3,0.07708550903094413,0.7691993874927814,0.7970054982692645,ok
bot->ton,42,bilanciato,8,4,0.07708550903094413,0.7691993874927814,0.8490915175076288,ok
bot->ton,42,casuale,32,4,0.07708550903094413,0.7691993874927814,0.9157963650351661,ok
bot->ton,42,margine,32,5,0.07708550903094413,0.7691993874927814,0.7850814556787322,ok
bot->ton,42,strat_z,32,10,0.07708550903094413,0.7691993874927814,0.8948025700432005,ok
bot->ton,42,conformal,32,5,0.07708550903094413,0.7691993874927814,0.8503138106328147,ok
bot->ton,42,conformal_top,32,5,0.07708550903094413,0.7691993874927814,0.7850814556787322,ok
bot->ton,42,misto,32,6,0.07708550903094413,0.7691993874927814,0.7712444075799016,ok
bot->ton,42,adattiva,32,9,0.07708550903094413,0.7691993874927814,0.8457928462398352,ok
bot->ton,42,bilanciato,32,16,0.07708550903094413,0.7691993874927814,0.8002783264532258,ok
bot->ton,42,casuale,128,30,0.07708550903094413,0.7691993874927814,0.9115717167104762,ok
bot->ton,42,margine,128,6,0.07708550903094413,0.7691993874927814,0.5471066879067303,ok
bot->ton,42,strat_z,128,25,0.07708550903094413,0.7691993874927814,0.9055699049972358,ok
bot->ton,42,conformal,128,19,0.07708550903094413,0.7691993874927814,0.8483881437052285,ok
bot->ton,42,conformal_top,128,6,0.07708550903094413,0.7691993874927814,0.5471066879067303,ok
bot->ton,42,misto,128,27,0.07708550903094413,0.7691993874927814,0.8375248299849711,ok
