exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
bot->ton,45,intero + guadagni float  n=128,0.838646248283291,1.0,,128.0,32.0,0.8366690751392176,,,
bot->ton,45,intero + guadagni interi n=128,0.8537743383082981,1.0,,128.0,,0.8531272579084745,"[101, -186, 87, 53, 67, -43, -70, -150, 128, -32, 754, -732]",0.0,6000.0
bot->ton,46,float non adattato,0.5798765191905267,1.0,,,,,,,
bot->ton,46,intero non adattato,0.4558166901386586,1.0,0.7271124841856873,,,,,,
bot->ton,46,intero + guadagni float  n=8,0.7904316148877353,1.0,,8.0,2.0,0.7901480088598953,,,
bot->ton,46,intero + guadagni interi n=8,0.7804394075172547,1.0,,8.0,,0.7797134023779019,"[-19, -56, 9, -14, -52, -22, 153, -119, 256, 18, 859, 371]",5959.0,6000.0
bot->ton,46,intero + guadagni float  n=32,0.7404303246742072,1.0,,32.0,9.0,0.739190294525395,,,
bot->ton,46,intero + guadagni interi n=32,0.5652903356776752,1.0,,32.0,,0.5627667916324153,"[-11, 106, -98, 49, 27, 50, -159, 8, 34, 30, 420, 157]",0.0,6000.0
bot->ton,46,intero + guadagni float  n=128,0.7470135590466588,1.0,,128.0,34.0,0.744264162510335,,,
bot->ton,46,intero + guadagni interi n=128,0.869369833292137,1.0,,128.0,,0.8682166119555457,"[-130, 37, -86, 76, 35, -47, -125, 1, 52, 23, 494, 361]",0.0,6000.0
bot->ton,47,float non adattato,0.5647105248908676,1.0,,,,,,,
bot->ton,47,intero non adattato,0.4406220115745484,1.0,0.722686845808674,,,,,,
bot->ton,47,intero + guadagni float  n=8,0.8293811782116092,1.0,,8.0,2.0,0.8290384997516145,,,
bot->ton,47,intero + guadagni interi n=8,0.8073119235746082,1.0,,8.0,,0.807566534194403,"[42, -107, 39, 226, -50, -90, -154, -163, 188, 25, 594, -573]",5377.0,6000.0
bot->ton,47,intero + guadagni float  n=32,0.8591324663791018,1.0,,32.0,9.0,0.8588022183578023,,,
bot->ton,47,intero + guadagni interi n=32,0.8854526684408386,1.0,,32.0,,0.8861827161937998,"[-10, -206, 27, 79, -164, -82, -104, -119, 128, -91, 1024, 5]",0.0,6000.0
bot->ton,47,intero + guadagni float  n=128,0.876741960749857,1.0,,128.0,30.0,0.8754151519826744,,,
