exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
bot->ton,48,intero + guadagni interi n=8,0.7218677298057674,,8.0,,"[32, -38, -61, -256, -39, -68, -269, -220, 145, 128, 705, -279]",0.0,5400.0
bot->ton,48,intero + guadagni float  n=32,0.8751587446807244,,32.0,8.0,,,
bot->ton,48,intero + guadagni interi n=32,0.8210869143083537,,32.0,,"[38, -165, -8, -8, 14, -77, -3, -87, 168, 51, 376, -595]",0.0,5700.0
bot->ton,48,intero + guadagni float  n=128,0.8379450310475083,,128.0,34.0,,,
bot->ton,48,intero + guadagni interi n=128,0.8517358916005175,,128.0,,"[91, -121, -57, 35, 20, -3, -71, -30, 89, 57, 661, -473]",-3.0,4500.0
bot->ton,49,float non adattato,0.6968267652117758,,,,,,
bot->ton,49,intero non adattato,0.7149460898641977,0.7996569419502186,,,,,
bot->ton,49,intero + guadagni interi n=8,,,8.0,,,,
bot->ton,49,intero + guadagni float  n=32,0.8437311139884929,,32.0,10.0,,,
bot->ton,49,intero + guadagni interi n=32,0.8444907600830691,,32.0,,"[175, -72, 256, 193, 62, -156, 297, -199, 128, 88, 2043, -12]",0.0,8900.0
bot->ton,49,intero + guadagni float  n=128,0.8714808766343847,,128.0,28.0,,,
bot->ton,49,intero + guadagni interi n=128,0.8592907986668914,,128.0,,"[75, -76, 51, 114, 38, -52, -9, -253, 117, 107, 1339, -238]",48.0,7900.0
bot->ton,50,float non adattato,0.6922856045279832,,,,,,
bot->ton,50,intero non adattato,0.733406101351813,0.7947479897461655,,,,,
bot->ton,50,intero + guadagni interi n=8,,,8.0,,,,
bot->ton,50,intero + guadagni float  n=32,0.8648752403426574,,32.0,10.0,,,
bot->ton,50,intero + guadagni interi n=32,0.8577838578378881,,32.0,,"[48, 112, 114, 111, 6, 64, -90, -445, 256, 37, 859, -307]",0.0,5100.0
bot->ton,50,intero + guadagni float  n=128,0.8593965669538878,,128.0,32.0,,,
bot->ton,50,intero + guadagni interi n=128,0.78878171119714,,128.0,,"[27, 45, 119, 63, 124, 98, -89, -512, 128, 73, 781, -1774]",0.0,6600.0
