exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
unsw->bot,0.526,0.7733,0.8732,0.8751,0.8215,0.8173,0.7733,0.7733
unsw->bot,0.579,0.7677,0.881,0.8811,0.8312,0.8251,0.7677,0.7677
unsw->bot,0.632,0.7639,0.8872,0.8901,0.8278,0.8256,0.7639,0.7639
unsw->bot,0.684,0.7619,0.8945,0.8998,0.8277,0.8251,0.7619,0.7619
unsw->bot,0.737,0.7583,0.8997,0.9085,0.821,0.8163,0.7583,0.7583
unsw->bot,0.789,0.7556,0.9049,0.9188,0.8087,0.8175,0.7556,0.7556
unsw->bot,0.842,0.7497,0.8962,0.9255,0.8154,0.8162,0.7497,0.7497
unsw->bot,0.895,0.7508,0.9064,0.9321,0.8092,0.8174,0.7508,0.7508
unsw->bot,0.947,0.7441,0.9067,0.937,0.8063,0.8005,0.7441,0.7441
unsw->bot,1.0,0.7127,0.8365,0.8822,0.8731,0.8518,0.7127,0.7127
unsw->ton,0.0,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193
unsw->ton,0.053,0.7917,0.7317,0.7686,0.7328,0.719,0.7917,0.7917
unsw->ton,0.105,0.7007,0.7318,0.7489,0.7047,0.7334,0.7651,0.7651
unsw->ton,0.158,0.7177,0.723,0.7303,0.7092,0.7177,0.7387,0.7387
unsw->ton,0.211,0.6927,0.7001,0.7036,0.675,0.6881,0.7122,0.7122
unsw->ton,0.263,0.6764,0.6802,0.6861,0.6778,0.6887,0.6843,0.6843
unsw->ton,0.316,0.6651,0.6627,0.6683,0.6771,0.6785,0.6559,0.6559
unsw->ton,0.368,0.6573,0.646,0.6429,0.6642,0.6596,0.6314,0.6314
unsw->ton,0.421,0.6415,0.636,0.6328,0.6685,0.6607,0.6027,0.6027
unsw->ton,0.474,0.6308,0.6296,0.6233,0.6743,0.6723,0.5764,0.5764
unsw->ton,0.526,0.6382,0.6375,0.6437,0.6779,0.6795,0.55,0.55
unsw->ton,0.579,0.642,0.642,0.6493,0.6685,0.6616,0.5229,0.5229
unsw->ton,0.632,0.665,0.6681,0.6629,0.6679,0.67,0.4954,0.4954
unsw->ton,0.684,0.6978,0.6939,0.6594,0.6586,0.6603,0.4688,0.4688
unsw->ton,0.737,0.7178,0.715,0.702,0.6768,0.6749,0.4417,0.4417
unsw->ton,0.789,0.7302,0.7305,0.7184,0.6732,0.6742,0.4137,0.4137
unsw->ton,0.842,0.7412,0.7488,0.7428,0.7012,0.6932,0.3879,0.3879
unsw->ton,0.895,0.7655,0.7625,0.7673,0.6912,0.696,0.3601,0.3601
unsw->ton,0.947,0.7886,0.7865,0.7894,0.7229,0.7131,0.3306,0.3306
unsw->ton,1.0,0.8179,0.8199,0.8256,0.7369,0.7133,0.3037,0.3037
