exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
ton->bot,42,oracolo,16,0.842,0.9663497474079903,16,512,True,0.15865,3.0
ton->bot,42,stat_13x13,16,0.842,0.9607558425832912,16,512,True,0.15865,3.0
ton->bot,42,martingala,16,0.842,0.974551601235332,10,320,True,0.15865,3.0
ton->bot,42,stat_13x13_adaptive,16,0.842,0.9599288149790741,16,512,True,0.15865,3.0
ton->bot,42,statico,17,0.895,0.7319067151233001,0,0,True,0.1655,3.0
ton->bot,42,ogni_batch,17,0.895,0.978093983691861,17,544,True,0.1655,3.0
ton->bot,42,su_innesco,17,0.895,0.979785341146441,4,128,True,0.1655,3.0
ton->bot,42,oracolo,17,0.895,0.9653200716469439,17,544,True,0.1655,3.0
ton->bot,42,stat_13x13,17,0.895,0.9489642210724238,17,544,True,0.1655,3.0
ton->bot,42,martingala,17,0.895,0.9777903464611142,11,352,True,0.1655,3.0
ton->bot,42,stat_13x13_adaptive,17,0.895,0.9602240336019753,17,544,True,0.1655,3.0
ton->bot,42,statico,18,0.947,0.727855826922519,0,0,True,0.1707,3.0
ton->bot,42,ogni_batch,18,0.947,0.9415594809860681,18,576,True,0.1707,3.0
ton->bot,42,su_innesco,18,0.947,0.988747329753737,5,160,True,0.1707,3.0
ton->bot,42,oracolo,18,0.947,0.9778488925928444,18,576,True,0.1707,3.0
ton->bot,42,stat_13x13,18,0.947,0.9070308597785377,18,576,True,0.1707,3.0
ton->bot,42,martingala,18,0.947,0.97125302172679,12,384,True,0.1707,3.0
ton->bot,42,stat_13x13_adaptive,18,0.947,0.9663673365334999,18,576,True,0.1707,3.0
ton->bot,42,statico,19,1.0,0.47064706470647066,0,0,True,0.1806,3.0
ton->bot,42,ogni_batch,19,1.0,0.49017401740174016,19,608,True,0.1806,3.0
ton->bot,42,su_innesco,19,1.0,0.7477497749774977,6,192,True,0.1806,3.0
ton->bot,42,oracolo,19,1.0,0.7465746574657466,19,608,True,0.1806,3.0
ton->bot,42,stat_13x13,19,1.0,0.49747474747474746,19,608,True,0.1806,3.0
ton->bot,42,martingala,19,1.0,0.4895989598959896,13,416,True,0.1806,3.0
ton->bot,42,stat_13x13_adaptive,19,1.0,0.7468996899689969,19,608,True,0.1806,3.0
ton->bot,43,statico,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,ogni_batch,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,su_innesco,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,oracolo,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,stat_13x13,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,martingala,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,stat_13x13_adaptive,0,0.0,0.9713865017424208,0,0,False,0.03085,3.0
ton->bot,43,statico,1,0.053,0.95387570399593,0,0,False,0.0387,3.0
ton->bot,43,ogni_batch,1,0.053,0.9423209775167576,1,32,False,0.0387,3.0
ton->bot,43,su_innesco,1,0.053,0.95387570399593,0,0,False,0.0387,3.0
ton->bot,43,oracolo,1,0.053,0.9486046822981283,1,32,False,0.0387,3.0
ton->bot,43,stat_13x13,1,0.053,0.9465452208605932,1,32,False,0.0387,3.0
ton->bot,43,martingala,1,0.053,0.95387570399593,0,0,False,0.0387,3.0
ton->bot,43,stat_13x13_adaptive,1,0.053,0.9494634903917386,1,32,False,0.0387,3.0
ton->bot,43,statico,2,0.105,0.9377646390879835,0,0,False,0.0465,3.0
ton->bot,43,ogni_batch,2,0.105,0.9410296436082484,2,64,False,0.0465,3.0
ton->bot,43,su_innesco,2,0.105,0.9377646390879835,0,0,False,0.0465,3.0
ton->bot,43,oracolo,2,0.105,0.9273252069918567,2,64,False,0.0465,3.0
ton->bot,43,stat_13x13,2,0.105,0.9324158911565981,2,64,False,0.0465,3.0
ton->bot,43,martingala,2,0.105,0.9377646390879835,0,0,False,0.0465,3.0
ton->bot,43,stat_13x13_adaptive,2,0.105,0.9457186515794789,2,64,False,0.0465,3.0
ton->bot,43,statico,3,0.158,0.9192061299072247,0,0,False,0.05485,3.0
ton->bot,43,ogni_batch,3,0.158,0.9114460609372018,3,96,False,0.05485,3.0
ton->bot,43,su_innesco,3,0.158,0.9192061299072247,0,0,False,0.05485,3.0
ton->bot,43,oracolo,3,0.158,0.9209590458167782,3,96,False,0.05485,3.0
